Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$190.42,-8.43,-4.239%,2860503140660.00,United States,1980,121879981,Technology,Computer Manufacturing
ACIW,ACI Worldwide Inc. Common Stock,$50.93,-2.42,-4.536%,5364763906.00,United States,,965646,Technology,Computer Software: Prepackaged Software
ADBE,Adobe Inc. Common Stock,$350.05,-14.59,-4.001%,149331330000.00,United States,1986,5694976,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$178.36,-18.27,-9.292%,88462365508.00,United States,,8548018,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$292.21,-2.48,-0.842%,118891743644.00,United States,,3284681,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$256.92,-6.61,-2.508%,55237800000.00,United States,,2238847,Technology,Computer Software: Prepackaged Software
AEIS,Advanced Energy Industries Inc. Common Stock,$86.71,-8.90,-9.309%,3270846092.00,United States,1995,513510,Technology,Industrial Machinery/Components
ALAB,Astera Labs Inc. Common Stock,$58.86,-5.47,-8.503%,9544353362.00,United States,2024,3995985,Technology,Semiconductors
ALGM,Allegro MicroSystems Inc. Common Stock,$21.82,-1.41,-6.07%,4017608198.00,United States,2020,3993893,Technology,Semiconductors
ALKT,Alkami Technology Inc. Common Stock,$24.26,-0.66,-2.648%,2480170688.00,United States,2021,2517513,Technology,Computer Software: Prepackaged Software
ALRM,Alarm.com Holdings Inc. Common Stock,$51.13,-1.97,-3.71%,2538448093.00,United States,2015,431667,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$138.24,-11.49,-7.674%,112311822966.00,United States,1972,16290727,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$88.70,-8.14,-8.406%,143736395229.00,United States,,65210565,Technology,Semiconductors
AMKR,Amkor Technology Inc. Common Stock,$15.99,-1.99,-11.068%,3945239755.00,United States,1998,2689908,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$296.50,-13.22,-4.268%,25988753067.00,United States,1996,649502,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$263.83,-11.13,-4.048%,89691180085.00,United States,2021,10364754,Technology,Computer Software: Programming Data Processing
APPF,AppFolio Inc. Class A Common Stock,$223.04,-5.50,-2.407%,8119717001.00,United States,2015,357291,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,$27.25,-0.82,-2.921%,2017729275.00,United States,2017,618928,Technology,Computer Software: Prepackaged Software
ARM,Arm Holdings plc American Depositary Shares,$100.46,-6.13,-5.751%,104511601729.00,United Kingdom,2023,8620945,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,$649.55,-37.71,-5.487%,255457440326.00,Netherlands,1995,2989944,Technology,Industrial Machinery/Components
AUR,Aurora Innovation Inc. Class A Common Stock,$6.39,-0.16,-2.443%,11121326102.00,United States,2021,12472969,Technology,EDP Services
AUROW,Aurora Innovation Inc. Warrant,$1.2481,0.0431,3.577%,2172226464.00,United States,2021,19191,Technology,EDP Services
AVGO,Broadcom Inc. Common Stock,$172.30,-12.85,-6.94%,810145763939.00,United States,2009,51212217,Technology,Semiconductors
AVPT,AvePoint Inc. Class A Common Stock,$14.40,-0.46,-3.096%,2906369899.00,United States,2019,909304,Technology,Computer Software: Prepackaged Software
AVT,Avnet Inc. Common Stock,$44.74,-1.67,-3.598%,3870214104.00,United States,,1126686,Technology,Electronic Components
BIDU,Baidu Inc. ADS,$78.47,-2.12,-2.631%,26975702209.00,China,2005,6916000,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$15.92,0.04,0.252%,6634951002.00,China,2018,6277465,Technology,EDP Services
BL,BlackLine Inc. Common Stock,$45.25,-0.88,-1.908%,2842348568.00,United States,2016,949210,Technology,Computer Software: Prepackaged Software
BLKB,Blackbaud Inc. Common Stock,$60.20,-1.84,-2.966%,2964036999.00,United States,2004,409810,Technology,Computer Software: Prepackaged Software
BRZE,Braze Inc. Class A Common Stock,$30.38,-2.52,-7.66%,3178734955.00,United States,2021,790453,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$41.60,-0.55,-1.305%,12609102438.00,United States,2020,1404638,Technology,Computer Software: Prepackaged Software
BZ,KANZHUN LIMITED American Depository Shares,$14.31,-0.94,-6.164%,6295344723.00,China,2021,6065748,Technology,Computer Software: Programming Data Processing
CAMT,Camtek Ltd. Ordinary Shares,$57.42,-4.99,-7.996%,2618034697.00,Israel,2000,530951,Technology,Electronic Components
CARG,CarGurus Inc. Class A Common Stock ,$26.57,-1.38,-4.937%,2774328098.00,United States,2017,948339,Technology,EDP Services
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,$8.81,-0.21,-2.328%,5786245993.00,United States,,8348111,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,$254.02,-10.63,-4.017%,69628914160.00,United States,,2603627,Technology,Computer Software: Prepackaged Software
CFLT,Confluent Inc. Class A Common Stock,$21.22,-1.64,-7.174%,7087819647.00,United States,2021,4206226,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$213.78,-5.63,-2.566%,23167022847.00,Israel,1996,1190463,Technology,Computer Software: Prepackaged Software
CLBT,Cellebrite DI Ltd. Ordinary Shares,$18.82,-0.16,-0.843%,4506826567.00,Israel,,991198,Technology,Computer Software: Prepackaged Software
CNXC,Concentrix Corporation Common Stock,$47.64,-1.60,-3.249%,3043408844.00,United States,,1157824,Technology,Computer Software: Prepackaged Software
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,$38.24,-5.03,-11.625%,6493198500.00,United States,2022,5404688,Technology,Semiconductors
CRUS,Cirrus Logic Inc. Common Stock,$84.85,-5.38,-5.963%,4509347056.00,United States,1989,829543,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$368.61,-9.40,-2.487%,91368619503.00,United States,2019,4552610,Technology,Computer Software: Prepackaged Software
CRWV,CoreWeave Inc. Class A Common Stock,$42.20,-6.57,-13.471%,19980895288.00,United States,2025,9404305,Technology,Computer Software: Prepackaged Software
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$69.50,-3.39,-4.651%,34375778223.00,United States,1998,4617376,Technology,EDP Services
CVLT,Commvault Systems Inc. Common Stock,$151.39,-6.33,-4.013%,6660797572.00,United States,2006,377658,Technology,Computer Software: Prepackaged Software
CYBR,CyberArk Software Ltd. Ordinary Shares,$342.22,-7.97,-2.276%,16925760763.00,Israel,2014,998724,Technology,Computer Software: Prepackaged Software
DBX,Dropbox Inc. Class A Common Stock,$27.08,-0.69,-2.485%,8171402321.00,United States,2018,3904807,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$93.18,-4.26,-4.372%,31938751011.00,United States,2019,6108614,Technology,Computer Software: Prepackaged Software
DGNX,Diginex Limited Ordinary Shares,$104.00,8.43,8.821%,2412066800.00,Hong Kong,2025,46769,Technology,EDP Services
DJT,Trump Media & Technology Group Corp. Common Stock,$18.79,-1.48,-7.301%,4135028208.00,United States,2024,11303632,Technology,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,$12.22,-0.25,-2.005%,2689198760.00,United States,2021,78603,Technology,Computer Software: Programming Data Processing
DOCU,DocuSign Inc. Common Stock,$73.22,-5.37,-6.833%,14826297298.00,United States,1989,2228179,Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited Ordinary Shares,$82.21,-3.11,-3.645%,9280733266.00,Guernsey,,1090382,Technology,EDP Services
DSGX,Descartes Systems Group Inc. (The) Common Stock,$100.75,-2.02,-1.966%,8618098278.00,Canada,,280589,Technology,Computer Software: Prepackaged Software
DUOL,Duolingo Inc. Class A Common Stock,$316.94,-20.46,-6.064%,14339253666.00,United States,2021,653645,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$139.39,2.81,2.057%,36327486428.00,United States,,3840929,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$49.56,-4.57,-8.443%,6565238228.00,United States,2012,4962341,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$7.11,-0.12,-1.66%,23806069836.00,Sweden,,42519093,Technology,Radio And Television Broadcasting And Communications Equipment
FLEX,Flex Ltd. Ordinary Shares,$29.42,-2.16,-6.84%,11270891878.00,Singapore,1994,4517816,Technology,Electrical Products
FORM,FormFactor Inc. FormFactor Inc. Common Stock,$26.23,-3.53,-11.862%,2034551642.00,United States,2003,2374347,Technology,Semiconductors
FROG,JFrog Ltd. Ordinary Shares,$30.39,-1.16,-3.677%,3430363970.00,United States,2020,538674,Technology,Computer Software: Prepackaged Software
FRSH,Freshworks Inc. Class A Common Stock,$12.57,-0.65,-4.917%,3790256486.00,United States,2021,3578421,Technology,Computer Software: Prepackaged Software
FSLR,First Solar Inc. Common Stock,$122.19,-7.44,-5.739%,13081918610.00,United States,2006,3736936,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$96.32,-3.61,-3.613%,74067581652.00,United States,2009,6807685,Technology,Computer peripheral equipment
GDS,GDS Holdings Limited ADS,$20.39,0.96,4.941%,3963767329.00,China,2016,6068556,Technology,Computer Software: Programming Data Processing
GEN,Gen Digital Inc. Common Stock,$24.26,-1.15,-4.526%,14951471212.00,United States,,5343791,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$33.81,-2.37,-6.551%,18693982546.00,United States,2021,2065187,Technology,Semiconductors
GLBE,Global-E Online Ltd. Ordinary Shares,$34.20,-1.87,-5.184%,5784289366.00,Israel,2021,2439401,Technology,Computer Software: Prepackaged Software
GOOG,Alphabet Inc. Class C Capital Stock,$155.37,-5.69,-3.533%,1893960300000.00,United States,2004,35270540,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$152.82,-5.89,-3.711%,1862875800000.00,United States,2004,48021972,Technology,Computer Software: Programming Data Processing
GTLB,GitLab Inc. Class A Common Stock,$42.98,-3.32,-7.171%,7048720000.00,United States,2021,3848176,Technology,Computer Software: Prepackaged Software
