Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAOI,Applied Optoelectronics Inc. Common Stock,$10.43,-1.02,-8.908%,517864957.00,United States,2013,3254817,Technology,Semiconductors
AAPG,Ascentage Pharma Group International American Depository Shares,$18.87,-0.58,-2.982%,1622604901.00,China,2025,624,Health Care,Biotechnology: Pharmaceutical Preparations
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.40,-0.06,-0.236%,1896144214.00,United States,,5058,Finance,Investment Managers
ABVX,Abivax SA American Depositary Shares,$6.29,0.23,3.795%,398680913.00,France,2023,123307,Health Care,Biotechnology: Pharmaceutical Preparations
ACMR,ACM Research Inc. Class A Common Stock,$19.73,-0.77,-3.756%,1245549060.00,United States,2017,1253267,Technology,Industrial Machinery/Components
ADMA,ADMA Biologics Inc Common Stock,$21.23,-0.92,-4.153%,5044568573.00,United States,,4653201,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIOT,PowerFleet Inc. Common Stock,$4.75,-0.03,-0.628%,629419379.00,United States,,1087986,Telecommunications,Telecommunications Equipment
ALNT,Allient Inc. Common Stock,$21.15,0.12,0.571%,356268281.00,United States,,81184,Industrials,Electrical Products
ALT,Altimmune Inc. Common Stock,$4.40,-0.13,-2.87%,338860095.00,United States,,1056944,Health Care,Biotechnology: Pharmaceutical Preparations
ALVO,Alvotech Ordinary Shares,$8.32,-0.28,-3.256%,2511023233.00,Luxembourg,,120734,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,$1.11,-0.19,-14.615%,335004301.00,Luxembourg,,110,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAL,Amalgamated Financial Corp. Common Stock (DE),$26.53,0.26,0.99%,814135502.00,United States,2018,182071,Finance,Major Banks
AMBR,Amber International Holding Limited American Depositary Shares,$10.50,0.25,2.439%,950625165.00,Hong Kong,2017,25040,Finance,Finance: Consumer Services
ANIP,ANI Pharmaceuticals Inc.,$69.20,-0.35,-0.503%,1455280775.00,United States,,327943,Health Care,Biotechnology: Pharmaceutical Preparations
APGE,Apogee Therapeutics Inc. Common Stock,$32.04,-0.81,-2.466%,1906482015.00,United States,2023,678426,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APPF,AppFolio Inc. Class A Common Stock,$217.92,-3.94,-1.776%,7933324645.00,United States,2015,165794,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,$26.92,-0.51,-1.859%,1993294388.00,United States,2017,525452,Technology,Computer Software: Prepackaged Software
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,$6.6801,-0.1399,-2.051%,4250881635.00,United Kingdom,,8679,Finance,Finance: Consumer Services
ARDX,Ardelyx Inc. Common Stock,$4.60,-0.04,-0.862%,1096438621.00,United States,2014,3501862,Health Care,Biotechnology: Pharmaceutical Preparations
ARRY,Array Technologies Inc. Common Stock,$4.08,0.02,0.493%,620216178.00,United States,2020,4224128,Consumer Discretionary,Miscellaneous manufacturing industries
ASTL,Algoma Steel Group Inc. Common Shares,$4.71,0.16,3.516%,493884957.00,Canada,,740641,Industrials,Steel/Iron Ore
ATCOL,Atlas Corp. 7.125% Notes due 2027,$24.00,-0.33,-1.356%,4903878648.00,United Kingdom,,1477,Consumer Discretionary,Marine Transportation
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,$23.8301,0.0801,0.337%,360200159.00,United States,,4845,Finance,Finance: Consumer Services
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,$24.624,0.174,0.712%,372200231.00,United States,,25544,Finance,Finance: Consumer Services
ATRC,AtriCure Inc. Common Stock,$32.08,-0.28,-0.865%,1568057696.00,United States,2005,286330,Health Care,Medical/Dental Instruments
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,$7.67,-0.08,-1.032%,1096740771.00,Canada,,966738,Health Care,Biotechnology: Pharmaceutical Preparations
AVBP,ArriVent BioPharma Inc. Common Stock,$17.90,-0.73,-3.918%,608889926.00,United States,2024,120947,Health Care,Biotechnology: Pharmaceutical Preparations
AVDL,Avadel Pharmaceuticals plc Ordinary Share,$8.15,0.24,3.034%,787529895.00,France,,1098210,Health Care,Biotechnology: Pharmaceutical Preparations
AXSM,Axsome Therapeutics Inc. Common Stock,$104.47,0.64,0.616%,5094521651.00,United States,2015,460516,Health Care,Biotechnology: Pharmaceutical Preparations
BBNX,Beta Bionics Inc. Common Stock,$10.94,0.46,4.389%,474236310.00,United States,2025,307226,Health Care,Medical/Dental Instruments
BCAX,Bicara Therapeutics Inc. Common Stock,$11.76,0.31,2.707%,641194314.00,United States,2024,649599,Health Care,Biotechnology: Pharmaceutical Preparations
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,$5.09,-0.07,-1.357%,400074000.00,United States,2020,1034128,Technology,Computer Software: Prepackaged Software
BITF,Bitfarms Ltd. Common Stock,$0.8272,0.0351,4.431%,457974631.00,Canada,,13249543,Finance,Finance: Consumer Services
BLBD,Blue Bird Corporation Common Stock,$33.25,-0.45,-1.335%,1067693344.00,United States,2014,570895,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLDP,Ballard Power Systems Inc. Common Shares,$1.20,0.01,0.84%,359290055.00,Canada,,8445245,Energy,Industrial Machinery/Components
BWMN,Bowman Consulting Group Ltd. Common Stock,$21.93,-0.10,-0.454%,378592195.00,United States,2021,64985,Consumer Discretionary,Professional Services
CAMT,Camtek Ltd. Ordinary Shares,$57.95,-2.38,-3.945%,2642199768.00,Israel,2000,233748,Technology,Electronic Components
CCAP,Crescent Capital BDC Inc. Common stock,$15.17,-0.03,-0.197%,562223668.00,United States,,179330,Finance,Finance: Consumer Services
CCLDO,CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,$18.5803,0.3803,2.09%,786253506.00,United States,,12012,Technology,Computer Software: Prepackaged Software
CDNA,CareDx Inc. Common Stock,$18.22,-0.94,-4.906%,1009859880.00,United States,2014,507044,Health Care,Medical Specialities
CDZIP,Cadiz Inc. Depositary Shares,$17.29,-0.09,-0.518%,1414062840.00,United States,,4969,Utilities,Water Supply
CEP,Cantor Equity Partners Inc. Class A Ordinary Shares,$10.60,-0.02,-0.188%,304605564.00,United States,2024,182258,Finance,Investment Managers
CGBDL,Carlyle Secured Lending Inc. 8.20% Notes due 2028,$25.51,0.03,0.118%,1297144164.00,United States,,4735,,
CLFD,Clearfield Inc. Common Stock,$26.49,-0.32,-1.194%,374344415.00,United States,,68758,Utilities,Telecommunications Equipment
CLMB,Climb Global Solutions Inc. Common Stock,$105.96,-1.08,-1.009%,487129378.00,United States,,21915,Technology,Retail: Computer Software & Peripheral Equipment
