date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stop_exits,stop_pending,portfolio_peak,portfolio_value,cash
2020-01-02,-0.0029910269192422456,0.013328444969281872,0.9999999999999992,0.997008973080757,0.002991026919242271,5,0,0,0.9970089730807578,0.9970089730807578,7.515689459669517e-16
2020-01-03,-0.01776078444290774,-0.007855191857838673,0.9999999999999992,0.0,0.0,5,0,0,0.9970089730807578,0.9793013116222256,7.515689459669517e-16
2020-01-06,-0.00031087725196876637,0.005619309971283348,0.9999999999999992,0.0,0.0,5,0,0,0.9970089730807578,0.978996869121619,7.515689459669517e-16
2020-01-07,-0.0006841612662989993,-0.00031746819144873317,0.9999999999999992,0.0,0.0,5,0,0,0.9970089730807578,0.978327077383938,7.515689459669517e-16
2020-01-08,0.011502430396947316,0.006689040547814162,0.9999999999999992,0.0,0.0,5,0,0,0.9970089730807578,0.9895802164969957,7.515689459669517e-16
2020-01-09,0.011251528656261112,0.008126579909684128,0.9999999999999993,0.0,0.0,5,0,0,1.0007145066605807,1.0007145066605807,7.515689459669517e-16
2020-01-10,-0.0033846321542553293,-0.0026695808846131097,0.9999999999999992,0.0,0.0,5,0,0,1.0007145066605807,0.9973274561641076,7.515689459669517e-16
2020-01-13,0.015665189181872208,0.010357418661689266,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.0129507794411936,7.515689459669517e-16
2020-01-14,-0.006437917056685727,-0.002436895763831548,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.006429486340646,7.515689459669517e-16
2020-01-15,-0.017004062612228865,0.0007966530131704452,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9893160963401163,7.515689459669517e-16
2020-01-16,0.016668411397884553,0.010631049485758437,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.0058064240364626,7.515689459669517e-16
2020-01-17,0.0052274574192898715,0.0033996001273852716,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.0110642342901615,7.515689459669517e-16
2020-01-21,-0.01686043130977355,-0.001931080529598339,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9940172552181434,7.515689459669517e-16
2020-01-22,0.0077500304107329665,0.0013830075044956036,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.0017209191748773,7.515689459669517e-16
2020-01-23,0.0032305025616903293,0.0019939748093769083,0.9999999999999993,0.0,0.0,5,0,0,1.0129507794411936,1.0049569811703705,7.515689459669517e-16
2020-01-24,-0.03073089706137555,-0.00931353167922011,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.974073751630913,7.515689459669517e-16
2020-01-27,-0.02946954529489476,-0.018851561231368552,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9453682410866577,7.515689459669517e-16
2020-01-28,0.024800045198751786,0.014264764594472235,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9688134161950713,7.515689459669517e-16
2020-01-29,-0.024802847611277823,0.0005912286268099365,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9447840846694235,7.515689459669517e-16
2020-01-30,0.00038127825836742346,0.002562705062495896,0.9999999999999992,0.0,0.0,5,0,0,1.0129507794411936,0.9451443102997595,7.515689459669517e-16
2020-01-31,-0.0271143777071724,-0.015914659511836238,0.9999999999999991,0.0,0.0,5,0,0,1.0129507794411936,0.919517310482507,7.515689459669517e-16
2020-02-03,0.0061800925067612145,0.013382231185769866,1.0,1.1994583010067863,0.003341239537834293,5,0,0,0.9252000125228571,0.9252000125228571,-1.9949319973733282e-17
2020-02-04,0.04161029212881728,0.020981440637460214,1.0,0.0,0.0,5,0,0,0.9636978553215185,0.9636978553215185,-1.9949319973733282e-17
2020-02-05,0.005453996548248297,0.004299760274898423,1.0,0.0,0.0,5,0,0,0.9689538600979963,0.9689538600979963,-1.9949319973733282e-17
2020-02-06,0.010063436169619466,0.0066750276592026925,1.0,0.0,0.0,5,0,0,0.9787048654203989,0.9787048654203989,-1.9949319973733282e-17
2020-02-07,-0.014350173282070444,-0.005394879712713352,1.0,0.0,0.0,5,0,0,0.9787048654203989,0.9646602810096108,-1.9949319973733282e-17
2020-02-10,0.015517494508319851,0.011331304968563938,1.0,0.0,0.0,5,0,0,0.9796293916225718,0.9796293916225718,-1.9949319973733282e-17
2020-02-11,0.01520141944035669,0.0010958011088375574,1.0,0.0,0.0,5,0,0,0.994521148900728,0.994521148900728,-1.9949319973733282e-17
2020-02-12,0.01753077306747608,0.009027921782771786,1.0,0.0,0.0,5,0,0,1.0119558734729122,1.0119558734729122,-1.9949319973733282e-17
2020-02-13,0.00023182175171587716,-0.001438449263620245,1.0,0.0,0.0,5,0,0,1.0121904668561599,1.0121904668561599,-1.9949319973733282e-17
2020-02-14,-0.002310293934658536,0.001977971574602444,1.0,0.0,0.0,5,0,0,1.0121904668561599,1.0098520093598629,-1.9949319973733282e-17
2020-02-18,-0.005173768341366625,0.0001603608244948873,1.0,0.0,0.0,5,0,0,1.0121904668561599,1.0046272690043714,-1.9949319973733282e-17
2020-02-19,0.10785894534230556,0.008675819786086558,1.0,0.0,0.0,5,0,0,1.1129853067013036,1.1129853067013036,-1.9949319973733282e-17
2020-02-20,-0.007234650142931898,-0.006745287549335677,1.0,0.0,0.0,5,0,0,1.1129853067013036,1.104933247393096,-1.9949319973733282e-17
2020-02-21,-0.026442301130795487,-0.017882362352014458,1.0,0.0,0.0,5,0,0,1.1129853067013036,1.0757162697361,-1.9949319973733282e-17
2020-02-24,-0.05291732434444929,-0.037101881506922174,1.0,0.0,0.0,5,0,0,1.1129853067013036,1.0187922429878737,-1.9949319973733282e-17
2020-02-25,-0.042133477629392124,-0.027726074002977774,1.0,0.0,0.0,5,0,0,1.1129853067013036,0.9758669828089459,-1.9949319973733282e-17
2020-02-26,0.01016153373570905,0.0016908051235420274,1.0,0.0,0.0,5,0,0,1.1129853067013036,0.9857832880763235,-1.9949319973733282e-17
2020-02-27,-0.04892964996711335,-0.04613067955925165,1.0,0.0,0.0,5,0,0,1.1129853067013036,0.9375492568473189,-1.9949319973733282e-17
2020-02-28,0.027056812051377888,0.0001038466147211814,1.0,0.0,0.0,5,0,0,1.1129853067013036,0.9629163508787459,-1.9949319973733282e-17
2020-03-02,0.031251183948964645,0.044914576527982586,0.9999999999999999,1.2308052113952725,0.00368018936755842,5,0,0,0.9930086268875234,0.9930086268875234,1.196959198423997e-16
2020-03-03,-0.016034612327025743,-0.029945823525981186,0.9999999999999999,0.0,0.0,5,0,0,0.9930086268875234,0.9770861185179899,1.196959198423997e-16
2020-03-04,0.0485344564553869,0.03846114074039164,0.9999999999999998,0.0,0.0,5,0,0,1.0245084621903642,1.0245084621903642,1.196959198423997e-16
2020-03-05,-0.0017378284693414514,-0.030993259792112537,0.9999999999999998,0.0,0.0,5,0,0,1.0245084621903642,1.0227280422176885,1.196959198423997e-16
2020-03-06,-0.011609984856912225,-0.018649427851619715,0.9999999999999998,0.0,0.0,5,0,0,1.0245084621903642,1.0108541851348016,1.196959198423997e-16
2020-03-09,-0.0925861456909498,-0.07287401875463217,0.9999999999999999,0.0,0.0,5,0,0,1.0245084621903642,0.9172630922776045,1.196959198423997e-16
