short_ma,long_ma,sharpe,annual_return,max_drawdown
3,20,-1.8000003136885347,0.04979647087884863,0.7037837142476862
3,21,-2.295842707251938,0.018137499986436725,0.7183703479302848
3,22,-inf,0.01866610824075051,0.6957204693015463
3,23,-inf,0.016080953538886878,0.7026777469990763
3,24,-inf,0.007431807052479526,0.7096647584059967
3,25,-1.9084746378184725,0.04045637396853489,0.7122351244933368
3,26,-inf,0.025157995106690333,0.6985065201646623
3,27,-inf,0.07190936468084977,0.7005205261606963
3,28,-inf,0.03829611785342744,0.7042141993654679
3,29,-inf,0.041571222462705795,0.695319809003934
3,30,-inf,0.010712217040248988,0.6951797841079865
3,31,-inf,0.027337241873853953,0.6954728774342863
3,32,-inf,0.028155919527948048,0.6858331697522075
3,33,-2.261155654082258,0.032421778077851154,0.7041039930478348
3,34,-inf,0.03340250992064294,0.6942707227543641
3,35,-2.6889394988521955,0.026246161348754,0.7011842354114596
3,36,-inf,0.060674748225415305,0.7063634850846197
3,37,-inf,0.04475309068684165,0.7058125741399764
3,38,-2.045965917951285,0.04400089800615368,0.7058123468535891
3,39,-inf,0.07013412633420546,0.6982707517583183
3,40,-inf,0.10387292233561182,0.6986377324727686
3,41,-0.8104392126060178,0.10140878693675287,0.6944847007495213
3,42,-inf,0.10114950461811147,0.7036179287408802
3,43,-inf,0.04134662902398905,0.6971682317827765
3,44,-inf,0.07671249415782783,0.6933524733609704
3,45,-inf,0.08113971269657601,0.7049275393168138
3,46,-0.9821533745443997,0.07994862098690839,0.6981393163012527
3,47,-0.6804467906987675,0.08965672390342293,0.6957062758213656
3,48,0.11413085465115688,0.09353705845767724,0.6966036022989114
3,49,-inf,0.10443951096518651,0.6824175824175823
3,50,-inf,0.11770038818262442,0.7086206896551724
3,51,-inf,0.15890072776303493,0.6810241894962946
3,52,-inf,0.19351799187718546,0.6909014404784284
3,53,-inf,0.24764699576071994,0.6824175824175824
3,54,8.391225847536438,0.33090538366742356,0.6584736762251552
