effective_date,ticker,target_weight,base_transaction_cost_bps
2026-01-02,LITE,0.08685838270012632,10.0
2026-01-02,MU,0.1609680122287708,10.0
2026-01-02,WBD,0.3,10.0
2026-01-02,TER,0.1659599379216241,10.0
2026-01-02,AAL,0.2862136671494787,10.0
2026-02-02,MU,0.21402005833442536,10.0
2026-02-02,LITE,0.11629756124944456,10.0
2026-02-02,WDC,0.1834435266503366,10.0
2026-02-02,STX,0.1862388537657934,10.0
2026-02-02,LRCX,0.3,10.0
2026-03-02,LITE,0.15152330546572107,10.0
2026-03-02,TER,0.2838012354292519,10.0
2026-03-02,MU,0.21720910100422489,10.0
2026-03-02,WDC,0.16717443318100447,10.0
2026-03-02,STX,0.18029192491979756,10.0
2026-04-01,__CASH__,0.0,10.0
2026-05-01,LITE,0.1309130297106077,10.0
2026-05-01,MRVL,0.23761475585064348,10.0
2026-05-01,WDC,0.19581325749818554,10.0
2026-05-01,STX,0.22100016607123457,10.0
2026-05-01,AMD,0.21465879086932882,10.0
2026-06-01,ALAB,0.14853368736716407,10.0
2026-06-01,AMD,0.21560016134176924,10.0
2026-06-01,MRVL,0.22133930927290316,10.0
2026-06-01,MU,0.16622077124145831,10.0
2026-06-01,STX,0.24830607077670527,10.0
2026-07-01,ALAB,0.1850521501537127,10.0
2026-07-01,MU,0.18772161005059576,10.0
2026-07-01,MRVL,0.1783586767150772,10.0
2026-07-01,CRDO,0.18293731762770893,10.0
2026-07-01,AMD,0.2659302454529055,10.0
