candidate,training_eligible,selection_years,required_positive_training_years,positive_training_years_50bps,worst_annual_training_excess_50bps,compounded_training_excess_30bps,compounded_training_excess_50bps,strategy_drawdown_50bps,drawdown_lag_50bps,turnover_50bps,average_invested_50bps,final_evidence,rank
top5_maxcorr_50pct,False,"[2020, 2021, 2022, 2023, 2024, 2025]",4,3,-0.360337915498401,0.5092985079426602,0.0840686231191885,-0.3490195759578508,0.0,73.51589978284917,0.7775243168072434,False,1
top5_maxcorr_80pct,False,"[2020, 2021, 2022, 2023, 2024, 2025]",4,5,-0.027588429065239506,2.924202939416856,2.267998509815476,-0.361469451125203,0.0,63.13503855742984,0.7917771883289124,False,2
top5_maxcorr_60pct,False,"[2020, 2021, 2022, 2023, 2024, 2025]",4,3,-0.27626247583879593,0.8965491246399306,0.4497612540658955,-0.38349384395680697,0.01954104015483027,68.31763640998986,0.7860732829072391,False,3
top5_maxcorr_70pct,False,"[2020, 2021, 2022, 2023, 2024, 2025]",4,3,-0.15950306616057275,1.7719100495492204,1.2374672735693046,-0.39471097291494994,0.030758169112973244,65.12994042117501,0.7917771883289124,False,4
