date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash,qqq
2026-01-02,-0.0029910269192422456,-0.00027364266140728066,0.9999999999999992,0.997008973080757,0.002991026919242271,5,0,0,0,0.9970089730807578,7.515689459669517e-16,-0.0019371327180087716
2026-01-05,-0.000958758666095294,0.006894153504768186,0.9999999999999992,0.0,0.0,5,0,0,0,0.9960530820876418,7.515689459669517e-16,0.007942980167014335
2026-01-06,0.047302081767179205,0.006469104310086182,0.9999999999999993,0.0,0.0,5,0,0,0,1.0431684664210024,7.515689459669517e-16,0.008786549944173716
2026-01-07,-0.005700139920380876,0.0015755608848113667,0.9999999999999993,0.0,0.0,5,0,0,0,1.0372222602018735,7.515689459669517e-16,0.0009624330307016482
2026-01-08,-0.04061778616758838,-0.004420319136441364,0.9999999999999992,0.0,0.0,5,0,0,0,0.995092588228731,7.515689459669517e-16,-0.005688920226915695
2026-01-09,0.021373754005167278,0.008148630197078122,0.9999999999999993,0.0,0.0,5,0,0,0,1.0163614524218971,7.515689459669517e-16,0.009960191467758284
2026-01-12,-0.0018833365506767397,0.0026424348421194566,0.9999999999999993,0.0,0.0,5,0,0,0,1.014447301749852,7.515689459669517e-16,0.0008298093034391218
2026-01-13,0.005669269160245349,-0.001012475825717729,0.9999999999999993,0.0,0.0,5,0,0,0,1.0201984765523566,7.515689459669517e-16,-0.0014828515394549324
2026-01-14,-0.021363536825048213,-0.010043074888221648,0.9999999999999992,0.0,0.0,5,0,0,0,0.9984034288296723,7.515689459669517e-16,-0.010682805314256583
2026-01-15,0.012080343679584882,0.0024825588207100235,0.9999999999999993,0.0,0.0,5,0,0,0,1.0104644853808107,7.515689459669517e-16,0.003599386651601977
2026-01-16,0.0033323409417760352,-0.0006217589275318014,0.9999999999999993,0.0,0.0,5,0,0,0,1.0138316975556558,7.515689459669517e-16,-0.0008363086622277249
2026-01-20,0.004337535481542476,-0.02385969358790141,0.9999999999999993,0.0,0.0,5,0,0,0,1.0182292285161159,7.515689459669517e-16,-0.021247142903132454
2026-01-21,0.031823559923468636,0.011784274158415542,0.9999999999999993,0.0,0.0,5,0,0,0,1.0506329073856258,7.515689459669517e-16,0.01351840278919858
2026-01-22,-0.004051460269522078,0.009093719563811442,0.9999999999999993,0.0,0.0,5,0,0,0,1.0463763099035004,7.515689459669517e-16,0.007269422989550245
2026-01-23,-0.009102076311294893,0.0027828957305890967,0.9999999999999993,0.0,0.0,5,0,0,0,1.0368521128804276,7.515689459669517e-16,0.003157419936851591
2026-01-26,-0.010950193552274667,0.004260200738343878,0.9999999999999993,0.0,0.0,5,0,0,0,1.025498381559302,7.515689459669517e-16,0.004400051387461579
2026-01-27,0.025044590187890847,0.009140998654314725,0.9999999999999993,0.0,0.0,5,0,0,0,1.0511815682638,7.515689459669517e-16,0.009065327918651889
2026-01-28,0.030704002813251474,0.0016941609179959016,0.9999999999999993,0.0,0.0,5,0,0,0,1.0834570500930099,7.515689459669517e-16,0.0033115206058973445
2026-01-29,-0.0017876224110191519,-0.007223320178812109,0.9999999999999993,0.0,0.0,5,0,0,0,1.0815202379888869,7.515689459669517e-16,-0.005985281576703305
2026-01-30,-0.019756753544784234,-0.009427860192390836,0.9999999999999993,0.0,0.0,5,0,0,0,1.060152909193244,7.515689459669517e-16,-0.012010866974882073
2026-02-02,0.037588170910467955,0.005553277622963648,1.0,1.2016890530645001,0.003979929423271336,5,0,0,0,1.1000021179352295,7.546047120499111e-17,0.006866386865421958
2026-02-03,0.011020008687786298,-0.014281045654670255,1.0,0.0,0.0,5,0,0,0,1.112124150831459,7.546047120499111e-17,-0.01536397610757978
2026-02-04,-0.047841633576271025,-0.015076634506103637,1.0,0.0,0.0,5,0,0,0,1.0589183147160588,7.546047120499111e-17,-0.017469019658729712
2026-02-05,0.010408164364415384,-0.01589158150902581,1.0,0.0,0.0,5,0,0,0,1.0699397105841133,7.546047120499111e-17,-0.014395377631035933
2026-02-06,0.07234002480974278,0.021766067347837703,1.0,0.0,0.0,5,0,0,0,1.1473391757926972,7.546047120499111e-17,0.02113796626635156
2026-02-09,0.005602485230877141,0.009007776838472648,1.0,0.0,0.0,5,0,0,0,1.1537671265798826,7.546047120499111e-17,0.007660132863118285
2026-02-10,-0.04302589655308642,-0.00586092061206589,1.0,0.0,0.0,5,0,0,0,1.1041252615453048,7.546047120499111e-17,-0.00463927594738911
2026-02-11,0.04344340491341603,-0.0015582749377014427,1.0,0.0,0.0,5,0,0,0,1.1520922223577488,7.546047120499111e-17,0.0026820612622042717
2026-02-12,0.020591655677873355,-0.020346416248346655,1.0,0.0,0.0,5,0,0,0,1.1758157087096954,7.546047120499111e-17,-0.0203389277617394
2026-02-13,-0.010786282000232794,-0.0022339100284771707,1.0,0.0,0.0,5,0,0,0,1.163133028895249,7.546047120499111e-17,0.0021310602024506853
2026-02-17,0.009119432239318437,0.0014064161137765652,1.0,0.0,0.0,5,0,0,0,1.1737401417375726,7.546047120499111e-17,-0.0010300372142476588
2026-02-18,0.022081457970565266,0.007761850053015218,1.0,0.0,0.0,5,0,0,0,1.199658035345716,7.546047120499111e-17,0.007467154498586481
2026-02-19,-0.0001653359492170825,-0.0031159863283353184,1.0,0.0,0.0,5,0,0,0,1.1994596887457063,7.546047120499111e-17,-0.0038297099654995836
2026-02-20,0.02574983787529539,0.00896452940188408,1.0,0.0,0.0,5,0,0,0,1.2303455812688606,7.546047120499111e-17,0.008848824299467983
2026-02-23,-0.0069035895576576856,-0.011308188780336681,1.0,0.0,0.0,5,0,0,0,1.2218517803617026,7.546047120499111e-17,-0.012154859479968971
2026-02-24,-0.0052543180284763125,0.01044801250880023,1.0,0.0,0.0,5,0,0,0,1.2154317825240222,7.546047120499111e-17,0.010741424319515858
2026-02-25,0.04799286638530309,0.012613892426766027,1.0,0.0,0.0,5,0,0,0,1.2737638376631484,7.546047120499111e-17,0.01449323046046036
2026-02-26,-0.04221512284513107,-0.011821831990905363,1.0,0.0,0.0,5,0,0,0,1.219991740780513,7.546047120499111e-17,-0.012064604008561908
2026-02-27,0.002472059411082972,-0.009186402184070852,1.0,0.0,0.0,5,0,0,0,1.223007632844753,7.546047120499111e-17,-0.0032007090801654536
2026-03-02,0.012919826936100609,0.00355784598783937,1.0,0.5995969461962337,0.0022323732765913906,5,0,0,0,1.2388086798026372,3.5561831257524545e-17,0.0013173278005567113
2026-03-03,-0.07789185167347978,-0.010205786136096573,1.0,0.0,0.0,5,0,0,0,1.142315577863631,3.5561831257524545e-17,-0.010705652123863207
