Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABL,Abacus Global Management Inc. Class A Common Stock,$8.02,0.02,0.25%,776761373.00,United States,2020,458659,Finance,Investment Managers
ACIC,American Coastal Insurance Corporation Common Stock,$11.19,0.02,0.179%,539902170.00,United States,,87967,Finance,Property-Casualty Insurers
ACNB,ACNB Corporation Common Stock,$40.35,0.25,0.623%,425399236.00,United States,,47938,Finance,Major Banks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$11.91,-0.31,-2.537%,602464527.00,Ireland,,41193,Consumer Discretionary,Industrial Specialties
AHCO,AdaptHealth Corp. Common Stock,$7.82,-0.18,-2.25%,1054660026.00,United States,2018,1484705,Health Care,Medical/Nursing Services
AKBA,Akebia Therapeutics Inc. Common Stock,$1.90,0.01,0.529%,448839008.00,United States,2014,3755392,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,$16.67,-0.11,-0.656%,422798793.00,United States,2019,50865,Finance,Major Banks
ALTI,AlTi Global Inc. Class A Common Stock,$3.33,0.02,0.604%,473655590.00,United States,2021,94047,Finance,Investment Managers
AMPL,Amplitude Inc. Class A Common Stock,$8.30,-0.19,-2.238%,1074109673.00,United States,,1184090,Technology,Computer Software: Prepackaged Software
ANNA,AleAnna Inc. Class A Common Stock,$16.83,4.26,33.89%,1120522130.00,United States,,23690,Energy,Oil & Gas Production
APPS,Digital Turbine Inc. Common Stock,$2.86,0.04,1.418%,300319474.00,United States,,2932733,Miscellaneous,Multi-Sector Companies
ARKO,ARKO Corp. Common Stock,$3.98,0.00,0.00%,460769846.00,United States,,500967,Consumer Staples,Food Chains
ASLE,AerSale Corporation Common Stock,$6.76,-0.28,-3.977%,360161768.00,United States,2019,591811,Consumer Discretionary,Industrial Specialties
ASPI,ASP Isotopes Inc. Common Stock,$5.69,-0.035,-0.611%,410067256.00,United States,2022,2273173,Industrials,Major Chemicals
ASTH,Astrana Health Inc. Common Stock,$32.70,-1.06,-3.14%,1839456848.00,United States,,242855,Consumer Discretionary,Professional Services
ATEX,Anterix Inc. Common Stock,$32.31,-0.24,-0.737%,600539056.00,United States,2015,67669,Telecommunications,Telecommunications Equipment
ATGL,Alpha Technology Group Limited Class A Ordinary Shares,$29.89,0.39,1.322%,492064125.00,China,2023,7224,Technology,EDP Services
AXGN,Axogen Inc. Common Stock,$15.58,-0.07,-0.447%,690876170.00,United States,,215435,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BBCP,Concrete Pumping Holdings Inc. Common Stock,$6.13,0.12,1.997%,325202293.00,United States,2017,165171,Consumer Discretionary,Engineering & Construction
BCAL,California BanCorp Common Stock,$12.56,-0.06,-0.475%,406970878.00,United States,,56492,Finance,Major Banks
