candidate,eligible,required_wins,wins_vs_qqq_50bps,worst_annual_excess_vs_qqq_50bps,compounded_excess_vs_qqq_30bps,compounded_excess_vs_qqq_50bps,drawdown_lag_vs_qqq_50bps,turnover_50bps,rank
mom63_skip0_liquid25_top5_profitable_monthly,True,5,5,-0.3637956092779069,1.819031122921861,1.0093656932307873,0.0,72.42508905279527,1
mom63_skip0_liquid25_top3_profitable_monthly,False,5,6,-0.4593448005340759,6.94588255752373,5.311353683113627,0.10301889204962789,79.26197894172707,2
mom63_skip0_liquid50_top3_profitable_monthly,False,5,5,-0.40677733788099835,3.362642377169659,2.205874472596829,0.21995836101529287,83.08820035498283,3
mom252_skip21_liquid50_top3_profitable_monthly,False,5,5,-0.49725887583244655,5.407948363695755,4.330433089219464,0.2307819582456958,59.51632566151926,4
mom126_skip0_liquid25_top3_profitable_monthly,False,5,4,-0.11177722502771004,7.008183770982234,5.694506646826585,0.0992874823548544,62.329196104676335,5
mom126_skip0_liquid100_top3_profitable_monthly,False,5,4,-0.317925402970892,2.8081582855318983,1.909744259144892,0.3055670181317386,68.72172105220577,6
mom63_skip0_liquid50_top5_profitable_monthly,False,5,4,-0.32053965355677594,2.1218771443755076,1.233102769569899,0.25850589702358484,75.92140440937607,7
mom252_skip21_liquid50_top5_profitable_monthly,False,5,4,-0.3668216933089684,3.846091940607244,3.067458319394042,0.08776890630233802,50.982762844255475,8
mom126_skip0_liquid50_top3_profitable_monthly,False,5,4,-0.3767922406780013,6.101112208153853,4.816527220223036,0.16801151595323072,66.60275988436516,9
mom252_skip21_liquid25_top5_profitable_monthly,False,5,4,-0.39904118365252994,0.9045887093081584,0.41325527899495995,0.07174626197557854,50.831219081371586,10
mom126_skip0_liquid50_top5_profitable_monthly,False,5,4,-0.4412952754744286,1.0966185420221235,0.49402651855030655,0.12029017120219299,60.62507343907821,11
mom252_skip21_liquid25_top3_profitable_monthly,False,5,4,-0.5383090338725788,6.158324639810915,5.151680060345098,0.19827956853239137,51.16553862919832,12
mom252_skip21_liquid100_top3_profitable_monthly,False,5,4,-0.538909387945447,-0.49202891342811483,-0.8938225461720308,0.2570149978559578,57.73434681000711,13
mom126_skip0_liquid100_top5_profitable_monthly,False,5,3,-0.37297272992351793,0.8550099888035163,0.24060272612183642,0.198118797080428,65.0557998594318,14
mom252_skip21_liquid100_top5_profitable_monthly,False,5,3,-0.43401369012194735,2.0835013323958504,1.4433720156059486,0.18032281687904328,53.8928048598807,15
mom63_skip0_liquid100_top3_profitable_monthly,False,5,3,-0.48935486734926636,-1.322387303346996,-1.786064136111611,0.24953085016591814,88.6378142351455,16
mom63_skip0_liquid100_top5_profitable_monthly,False,5,2,-0.20574245436780525,0.19360252118719945,-0.5067753803081185,0.18239347624672853,87.23128226619401,17
mom126_skip0_liquid25_top5_profitable_monthly,False,5,2,-0.295051573146485,-0.02747737155532448,-0.4808154508992142,0.05514495184512214,57.84053913180785,18
