date,strategy,benchmark,invested,turnover,holdings,qqq
2019-01-02,0.0,0.004620769722476492,0.0,0.0,0,0.004019188383248995
2019-01-03,0.0,-0.030369295708771782,0.0,0.0,0,-0.032670454545454586
2019-01-04,0.0,0.042602289781078495,0.0,0.0,0,0.04278467494326521
2019-01-07,0.0,0.012555580803809141,0.0,0.0,0,0.011905523907060456
2019-01-08,0.0,0.010776012475294472,0.0,0.0,0,0.009045480422544161
2019-01-09,0.0,0.008711048281861755,0.0,0.0,0,0.00814944834503506
2019-01-10,0.0,0.0041669349185731175,0.0,0.0,0,0.0028603407536376135
2019-01-11,0.0,-0.002088413144684109,0.0,0.0,0,-0.0036582341269841834
2019-01-14,0.0,-0.009404043330827894,0.0,0.0,0,-0.008836890907959138
2019-01-15,0.0,0.017073786216373676,0.0,0.0,0,0.019526590067181493
2019-01-16,0.0,0.0015461364875555272,0.0,0.0,0,-0.0001847518167261697
2019-01-17,0.0,0.007074952941422463,0.0,0.0,0,0.00788420080073915
2019-01-18,0.0,0.010271777947789884,0.0,0.0,0,0.009900385014973034
2019-01-22,0.0,-0.019123334027270178,0.0,0.0,0,-0.020030257186081868
2019-01-23,0.0,0.0007706300071597116,0.0,0.0,0,0.001296776583920023
2019-01-24,0.0,0.006787868091326477,0.0,0.0,0,0.006475485661424418
2019-01-25,0.0,0.012921526381714177,0.0,0.0,0,0.011948529411764719
2019-01-28,0.0,-0.011051116296077246,0.0,0.0,0,-0.01235240690281536
2019-01-29,0.0,-0.008099462349429709,0.0,0.0,0,-0.009441481209000235
2019-01-30,0.0,0.022023863557138368,0.0,0.0,0,0.025437890697530774
2019-01-31,0.0,0.013735068887788193,0.0,0.0,0,0.014968614196040564
2019-02-01,0.0,-0.0024540974422569972,0.0,0.0,0,-0.004222169362511963
2019-02-04,0.0,0.011518639354522575,0.0,0.0,0,0.012421618393550382
2019-02-05,0.0,0.007422906169956223,0.0,0.0,0,0.008847991505927855
2019-02-06,0.0,-0.0036206444185871156,0.0,0.0,0,-0.002981932994211345
2019-02-07,0.0,-0.011786630793315878,0.0,0.0,0,-0.013429509734928735
2019-02-08,0.0,0.0013514855714740204,0.0,0.0,0,0.001961600190215851
2019-02-11,0.0,0.0013290537028567417,0.0,0.0,0,-0.0009492168960606451
