test_year,test_excess_vs_nasdaq_50bps,test_status,final_evidence
2022,0.20676674071227552,PASS,False
2023,0.00010925828137176019,PASS,False
2024,0.07351524606803816,PASS,False
2025,0.047115675859045636,PASS,False
