effective_date,ticker,target_weight,base_transaction_cost_bps
2021-11-01,NFLX,0.2,10.0
2021-11-01,ETSY,0.2,10.0
2021-11-01,NVDA,0.2,10.0
2021-11-01,ENPH,0.2,10.0
2021-12-01,TSLA,0.2,10.0
2021-12-01,DLTR,0.2,10.0
2021-12-01,NVDA,0.2,10.0
2021-12-01,ENPH,0.2,10.0
2021-12-01,AMD,0.2,10.0
2022-01-03,ON,0.2,10.0
2022-01-03,DLTR,0.2,10.0
2022-01-03,QCOM,0.2,10.0
2022-01-03,NVDA,0.2,10.0
2022-01-03,AMD,0.2,10.0
2022-02-01,__CASH__,0.0,10.0
2022-03-01,__CASH__,0.0,10.0
2022-04-01,__CASH__,0.0,10.0
2022-05-02,__CASH__,0.0,10.0
2022-06-01,__CASH__,0.0,10.0
2022-07-01,__CASH__,0.0,10.0
2022-08-01,__CASH__,0.0,10.0
2022-09-01,__CASH__,0.0,10.0
2022-10-03,__CASH__,0.0,10.0
2022-11-01,__CASH__,0.0,10.0
2022-12-01,__CASH__,0.0,10.0
2023-01-03,__CASH__,0.0,10.0
2023-02-01,NVDA,0.2,10.0
2023-02-01,MELI,0.2,10.0
2023-02-01,FSLR,0.2,10.0
2023-02-01,BKNG,0.2,10.0
2023-02-01,SBUX,0.2,10.0
2023-03-01,ALGN,0.2,10.0
2023-03-01,META,0.2,10.0
2023-03-01,NVDA,0.2,10.0
2023-03-01,MELI,0.2,10.0
2023-03-01,BKNG,0.2,10.0
2023-04-03,NVDA,0.2,10.0
2023-04-03,META,0.2,10.0
2023-04-03,ALGN,0.2,10.0
2023-04-03,MELI,0.2,10.0
2023-04-03,AMD,0.2,10.0
2023-05-01,META,0.2,10.0
2023-05-01,NVDA,0.2,10.0
2023-05-01,MSFT,0.2,10.0
2023-05-01,LULU,0.2,10.0
2023-05-01,ISRG,0.2,10.0
2023-06-01,SMCI,0.2,10.0
2023-06-01,NVDA,0.2,10.0
2023-06-01,META,0.2,10.0
2023-06-01,AMD,0.2,10.0
2023-06-01,AVGO,0.2,10.0
2023-07-03,SMCI,0.2,10.0
2023-07-03,NVDA,0.2,10.0
2023-07-03,META,0.2,10.0
2023-07-03,AVGO,0.2,10.0
2023-07-03,ISRG,0.2,10.0
2023-08-01,SMCI,0.2,10.0
2023-08-01,NVDA,0.2,10.0
2023-08-01,TSLA,0.2,10.0
2023-08-01,ON,0.2,10.0
2023-08-01,ADBE,0.2,10.0
2023-09-01,CHTR,0.2,10.0
2023-09-01,ADBE,0.2,10.0
2023-09-01,INTU,0.2,10.0
2023-09-01,TSLA,0.2,10.0
2023-09-01,NVDA,0.2,10.0
2023-10-02,AMGN,0.2,10.0
2023-10-02,CHTR,0.2,10.0
2023-10-02,REGN,0.2,10.0
2023-10-02,BKNG,0.2,10.0
2023-10-02,INTU,0.2,10.0
2023-11-01,AMGN,0.2,10.0
2023-11-01,REGN,0.2,10.0
2023-11-01,MELI,0.2,10.0
2023-11-01,SNPS,0.2,10.0
2023-11-01,TMUS,0.2,10.0
2023-12-01,MSTR,0.2,10.0
2023-12-01,PANW,0.2,10.0
2023-12-01,SNPS,0.2,10.0
2023-12-01,MELI,0.2,10.0
2023-12-01,LULU,0.2,10.0
2024-01-02,MSTR,0.2,10.0
2024-01-02,AMD,0.2,10.0
2024-01-02,AVGO,0.2,10.0
2024-01-02,DXCM,0.2,10.0
2024-01-02,LULU,0.2,10.0
2024-02-01,SMCI,0.2,10.0
2024-02-01,AMD,0.2,10.0
2024-02-01,NVDA,0.2,10.0
2024-02-01,ISRG,0.2,10.0
2024-02-01,PANW,0.2,10.0
2024-03-01,SMCI,0.2,10.0
2024-03-01,MARA,0.2,10.0
2024-03-01,MSTR,0.2,10.0
2024-03-01,NVDA,0.2,10.0
2024-03-01,COIN,0.2,10.0
2024-04-01,SMCI,0.2,10.0
2024-04-01,MSTR,0.2,10.0
2024-04-01,NVDA,0.2,10.0
2024-04-01,COIN,0.2,10.0
2024-04-01,META,0.2,10.0
2024-05-01,MSTR,0.2,10.0
2024-05-01,SMCI,0.2,10.0
2024-05-01,COIN,0.2,10.0
2024-05-01,CEG,0.2,10.0
2024-05-01,NVDA,0.2,10.0
2024-06-03,FSLR,0.2,10.0
2024-06-03,NVDA,0.2,10.0
2024-06-03,APP,0.2,10.0
2024-06-03,CEG,0.2,10.0
2024-06-03,HOOD,0.2,10.0
2024-07-01,NVDA,0.2,10.0
2024-07-01,FSLR,0.2,10.0
2024-07-01,AAPL,0.2,10.0
2024-07-01,AVGO,0.2,10.0
2024-07-01,GOOGL,0.2,10.0
2024-08-01,CHTR,0.2,10.0
2024-08-01,NVDA,0.2,10.0
2024-08-01,AAPL,0.2,10.0
2024-08-01,MPWR,0.2,10.0
2024-08-01,TSLA,0.2,10.0
2024-09-03,ADBE,0.2,10.0
2024-09-03,MPWR,0.2,10.0
2024-09-03,WDAY,0.2,10.0
2024-09-03,PANW,0.2,10.0
2024-09-03,AVGO,0.2,10.0
2024-10-01,PYPL,0.2,10.0
2024-10-01,MELI,0.2,10.0
2024-10-01,CEG,0.2,10.0
2024-10-01,SBUX,0.2,10.0
2024-10-01,TSLA,0.2,10.0
2024-11-01,APP,0.2,10.0
2024-11-01,UAL,0.2,10.0
2024-11-01,CEG,0.2,10.0
2024-11-01,BKNG,0.2,10.0
2024-11-01,AAL,0.2,10.0
2024-12-02,APP,0.2,10.0
2024-12-02,UAL,0.2,10.0
2024-12-02,SOFI,0.2,10.0
2024-12-02,HOOD,0.2,10.0
2024-12-02,MARA,0.2,10.0
2025-01-02,APP,0.2,10.0
2025-01-02,PLTR,0.2,10.0
2025-01-02,SOFI,0.2,10.0
2025-01-02,UAL,0.2,10.0
2025-01-02,HOOD,0.2,10.0
2025-02-03,APP,0.2,10.0
2025-02-03,HOOD,0.2,10.0
2025-02-03,PLTR,0.2,10.0
2025-02-03,TSLA,0.2,10.0
2025-02-03,SOFI,0.2,10.0
2025-03-03,HOOD,0.2,10.0
2025-03-03,PLTR,0.2,10.0
2025-03-03,GILD,0.2,10.0
2025-03-03,AVGO,0.2,10.0
2025-03-03,META,0.2,10.0
2025-04-01,__CASH__,0.0,10.0
2025-05-01,__CASH__,0.0,10.0
2025-06-02,PLTR,0.2,10.0
2025-06-02,AXON,0.2,10.0
2025-06-02,HOOD,0.2,10.0
2025-06-02,NFLX,0.2,10.0
2025-06-02,INTU,0.2,10.0
2025-07-01,HOOD,0.2,10.0
2025-07-01,HON,0.2,10.0
2025-07-01,COIN,0.2,10.0
2025-07-01,AVGO,0.2,10.0
2025-07-01,PLTR,0.2,10.0
2025-08-01,CRDO,0.2,10.0
2025-08-01,HOOD,0.2,10.0
2025-08-01,HON,0.2,10.0
2025-08-01,COIN,0.2,10.0
2025-08-01,SMCI,0.2,10.0
2025-09-02,ALAB,0.2,10.0
2025-09-02,SOFI,0.2,10.0
2025-09-02,HON,0.2,10.0
2025-09-02,HOOD,0.2,10.0
2025-09-02,AMD,0.2,10.0
2025-10-01,ALAB,0.2,10.0
2025-10-01,APP,0.2,10.0
2025-10-01,WDC,0.2,10.0
2025-10-01,WBD,0.2,10.0
2025-10-01,CRDO,0.2,10.0
2025-11-03,MU,0.2,10.0
2025-11-03,WDC,0.2,10.0
2025-11-03,WBD,0.2,10.0
2025-11-03,RIOT,0.2,10.0
2025-11-03,STX,0.2,10.0
2025-12-01,LITE,0.2,10.0
2025-12-01,WBD,0.2,10.0
2025-12-01,WDC,0.2,10.0
2025-12-01,MU,0.2,10.0
2025-12-01,INTC,0.2,10.0
