effective_date,ticker,target_weight,base_transaction_cost_bps
2020-01-02,AMD,0.2,10.0
2020-01-02,QRVO,0.2,10.0
2020-01-02,SWKS,0.2,10.0
2020-01-02,ALGN,0.2,10.0
2020-01-02,REGN,0.2,10.0
2020-02-03,ENPH,0.2,10.0
2020-02-03,AMD,0.2,10.0
2020-02-03,FTNT,0.2,10.0
2020-02-03,QRVO,0.2,10.0
2020-02-03,ADSK,0.2,10.0
2020-03-02,ENPH,0.2,10.0
2020-03-02,DXCM,0.2,10.0
2020-03-02,REGN,0.2,10.0
2020-03-02,NFLX,0.2,10.0
2020-03-02,AMD,0.2,10.0
2020-04-01,__CASH__,0.0,10.0
2020-05-01,ZM,0.2,10.0
2020-05-01,REGN,0.2,10.0
2020-05-01,DXCM,0.2,10.0
2020-05-01,ENPH,0.2,10.0
2020-05-01,GILD,0.2,10.0
2020-06-01,ZM,0.2,10.0
2020-06-01,PYPL,0.2,10.0
2020-06-01,LULU,0.2,10.0
2020-06-01,REGN,0.2,10.0
2020-06-01,DXCM,0.2,10.0
2020-07-01,ETSY,0.2,10.0
2020-07-01,TTD,0.2,10.0
2020-07-01,PYPL,0.2,10.0
2020-07-01,EBAY,0.2,10.0
2020-07-01,ZM,0.2,10.0
2020-08-03,TSLA,0.2,10.0
2020-08-03,ETSY,0.2,10.0
2020-08-03,ZM,0.2,10.0
2020-08-03,PYPL,0.2,10.0
2020-08-03,TTD,0.2,10.0
2020-09-01,TSLA,0.2,10.0
2020-09-01,AMD,0.2,10.0
2020-09-01,AAPL,0.2,10.0
2020-09-01,FSLR,0.2,10.0
2020-09-01,ZM,0.2,10.0
2020-10-01,TSLA,0.2,10.0
2020-10-01,ZM,0.2,10.0
2020-10-01,SEDG,0.2,10.0
2020-10-01,ENPH,0.2,10.0
2020-10-01,AMD,0.2,10.0
2020-11-02,ZM,0.2,10.0
2020-11-02,ENPH,0.2,10.0
2020-11-02,SEDG,0.2,10.0
2020-11-02,TSLA,0.2,10.0
2020-11-02,TTD,0.2,10.0
2020-12-01,TTD,0.2,10.0
2020-12-01,PTON,0.2,10.0
2020-12-01,ZM,0.2,10.0
2020-12-01,MU,0.2,10.0
2020-12-01,LRCX,0.2,10.0
2021-01-04,ENPH,0.2,10.0
2021-01-04,TSLA,0.2,10.0
2021-01-04,MU,0.2,10.0
2021-01-04,TTD,0.2,10.0
2021-01-04,PTON,0.2,10.0
2021-02-01,MSTR,0.2,10.0
2021-02-01,TSLA,0.2,10.0
2021-02-01,ENPH,0.2,10.0
2021-02-01,AMAT,0.2,10.0
2021-02-01,MU,0.2,10.0
2021-03-01,ETSY,0.2,10.0
2021-03-01,ILMN,0.2,10.0
2021-03-01,MU,0.2,10.0
2021-03-01,AMAT,0.2,10.0
2021-03-01,INTC,0.2,10.0
2021-04-01,AMAT,0.2,10.0
2021-04-01,INTC,0.2,10.0
2021-04-01,KLAC,0.2,10.0
2021-04-01,NXPI,0.2,10.0
2021-04-01,LRCX,0.2,10.0
2021-05-03,AMAT,0.2,10.0
2021-05-03,GOOG,0.2,10.0
2021-05-03,GOOGL,0.2,10.0
2021-05-03,LRCX,0.2,10.0
2021-05-03,BKNG,0.2,10.0
2021-06-01,META,0.2,10.0
2021-06-01,MRNA,0.2,10.0
2021-06-01,NVDA,0.2,10.0
2021-06-01,CSCO,0.2,10.0
2021-06-01,GOOG,0.2,10.0
2021-07-01,MRNA,0.2,10.0
2021-07-01,NVDA,0.2,10.0
2021-07-01,ROKU,0.2,10.0
2021-07-01,INTU,0.2,10.0
2021-07-01,ISRG,0.2,10.0
2021-08-02,MRNA,0.2,10.0
2021-08-02,AMD,0.2,10.0
2021-08-02,NVDA,0.2,10.0
2021-08-02,INTU,0.2,10.0
2021-08-02,ROKU,0.2,10.0
2021-09-01,MRNA,0.2,10.0
2021-09-01,TTD,0.2,10.0
2021-09-01,AMD,0.2,10.0
2021-09-01,ADBE,0.2,10.0
2021-09-01,NVDA,0.2,10.0
2021-10-01,MRNA,0.2,10.0
2021-10-01,NFLX,0.2,10.0
2021-10-01,TSLA,0.2,10.0
2021-10-01,COST,0.2,10.0
2021-10-01,LULU,0.2,10.0
2021-11-01,TSLA,0.2,10.0
