year,tickers_traded,net_realized_pnl,top_ticker,top1_share_of_net_realized_pnl,top2_share_of_net_realized_pnl,top4_share_of_net_realized_pnl
2021,24,871961.3183073963,MRNA,0.6259200522418982,1.1782254361366573,1.4511129068322033
2022,6,-415777.11845189537,FRHC,,,
2023,19,593394.0512406549,SMCI,1.2395880449789283,1.5566993066747294,1.9504579009297098
2024,18,3818350.5009678146,APP,0.23344914087405444,0.4436448653660939,0.6609206320417924
2025,21,5660616.830409287,APP,0.404805762104824,0.7474493637308681,1.172442508257077
2026,13,7680488.429742372,LITE,0.6655662488563779,0.8819019591964641,1.2391916680093435
