effective_start,training_end,config_id,rolling_months,rolling_quality,expanding_quality,rolling_worst_annual_excess,rolling_rank,expanding_rank,combined_rank,candidate_group,variant_selected,variant_rolling_rank,variant_expanding_rank,variant_combined_rank,selection_reason,selected
2022-01-01,2021-12-31,11,36,-0.03205060794889529,-0.03205060794889529,-0.4222388510349744,1.0,1.0,2.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,1,36,-0.03250142252519527,-0.03250142252519527,-0.24177052243986719,2.0,2.0,4.0,top3-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,2,36,-0.033178320624666975,-0.033178320624666975,-0.5848863954711772,3.0,3.0,6.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,9,36,-0.03323139996049369,-0.03323139996049369,-0.40729061862556637,4.0,4.0,8.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,5,36,-0.037398975549524274,-0.037398975549524274,-0.31474573105745196,5.0,5.0,10.0,top5-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,7,36,-0.04256483195415648,-0.04256483195415648,-0.5011451851530287,6.0,6.0,12.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,10,36,-0.038098352428971624,-0.038098352428971624,-0.45631436693416616,6.0,6.0,12.0,top10-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,0,36,-0.03983930932778044,-0.03983930932778044,-0.5202717461837622,7.0,7.0,14.0,top3-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,8,36,-0.040488781121551964,-0.040488781121551964,-0.43056057711213824,8.0,8.0,16.0,top10-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,3,36,-0.04398212056711523,-0.04398212056711523,-0.3851470709529039,10.0,10.0,20.0,top3-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,4,36,-0.043982975361452945,-0.043982975361452945,-0.5298472261800897,11.0,11.0,22.0,top5-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,6,36,-0.047909607674064686,-0.047909607674064686,-0.6422224316738648,12.0,12.0,24.0,top5-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,True
2023-01-01,2022-12-31,9,36,-0.014086002886617821,-0.0251427945987489,-0.11418913627776006,2.0,1.0,3.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,2,36,-0.005778520877018436,-0.027898949014640732,0.14588763378202996,1.0,3.0,4.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,11,36,-0.014548735684907329,-0.02621024261653253,-0.04284907084206879,3.0,2.0,5.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,0,36,-0.01749643236990729,-0.033440220852371576,-0.029470180694540993,4.0,5.0,9.0,top3-liq2000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,7,36,-0.018481364081813542,-0.0327753457631187,-0.2558767279840919,5.0,4.0,9.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,1,36,-0.02154850657340536,-0.0276727078907983,-0.17977420756728213,8.0,3.0,11.0,top3-liq2000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,4,36,-0.022115931260987886,-0.036248722770456404,-0.10267098735566482,6.0,6.0,12.0,top5-liq2000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,10,36,-0.02031454970191892,-0.030726577997812678,-0.14052440996994298,6.0,6.0,12.0,top10-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,5,36,-0.02331015944326232,-0.030178197634514636,-0.18381916083416905,11.0,5.0,16.0,top5-liq2000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,8,36,-0.022943492619259754,-0.03203894685683745,-0.22416778181344155,10.0,7.0,17.0,top10-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,6,36,-0.0205321267994404,-0.0388230866702667,-0.08877373511065767,7.0,12.0,19.0,top5-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,True
2023-01-01,2022-12-31,3,36,-0.025606487324780148,-0.03542013842615355,-0.3851470709529039,12.0,10.0,22.0,top3-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,2,36,-0.011565669080749108,-0.02693190421792942,-0.04673117330512011,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,10,36,-0.01886389691591129,-0.03251083324065268,-0.28638785501526165,2.0,3.0,5.0,top10-liq10000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,9,36,-0.02323259335835031,-0.029256591544206123,-0.33284658609212325,4.0,2.0,6.0,top10-liq2000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,8,36,-0.020909662790604907,-0.0347546167009183,-0.3070391090614071,3.0,4.0,7.0,top10-liq2000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,1,36,-0.033291236508528825,-0.03169616333429334,-0.28849332083635426,6.0,2.0,8.0,top3-liq2000000,True,2.0,1.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,11,36,-0.02463465552745556,-0.030173874783945686,-0.3269305239157103,5.0,3.0,8.0,top10-liq10000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,4,36,-0.027704146279486582,-0.03694213469974142,-0.18925532232757503,5.0,5.0,10.0,top5-liq2000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,6,36,-0.024948703200613386,-0.03880485223815949,-0.24732223392813246,4.0,6.0,10.0,top5-liq10000000,True,1.0,2.0,3.0,no_positive_rolling_evidence,True
2024-01-01,2023-12-31,5,36,-0.030090588998332182,-0.03281025341252507,-0.263401844443111,9.0,6.0,15.0,top5-liq2000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,7,36,-0.029335146156832023,-0.03521649240248987,-0.306653102814719,8.0,8.0,16.0,top5-liq10000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,0,36,-0.030993304159011515,-0.03761002451640104,-0.3241504505269406,10.0,10.0,20.0,top3-liq2000000,False,1.0,2.0,3.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,3,36,-0.04270101772044489,-0.039024170286231806,-0.3851470709529039,12.0,12.0,24.0,top3-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2025-01-01,2024-12-31,2,36,0.018709649392876754,-0.007569298719361774,-0.04673117330512011,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2025-01-01,2024-12-31,1,36,0.0002070736028854589,-0.016262183807590598,-0.28849332083635426,2.0,2.0,4.0,top3-liq2000000,True,2.0,1.0,3.0,adaptive_stability_rank,True
2025-01-01,2024-12-31,0,36,0.00404977468028828,-0.017954328245149233,-0.3241504505269406,2.0,3.0,5.0,top3-liq2000000,False,1.0,2.0,3.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,5,36,-0.0062935796544023904,-0.021932354473555706,-0.263401844443111,4.0,3.0,7.0,top5-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,6,36,-0.003243138102197545,-0.025884986130814747,-0.24732223392813246,3.0,5.0,8.0,top5-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,9,36,-0.011678697141753095,-0.02245959419411809,-0.33284658609212325,5.0,4.0,9.0,top10-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,10,36,-0.016747939275771766,-0.027493392194555343,-0.28638785501526165,6.0,6.0,12.0,top10-liq10000000,True,1.0,2.0,3.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,4,36,-0.00927043569494804,-0.026709043051116862,-0.18925532232757503,6.0,10.0,16.0,top5-liq2000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,7,36,-0.010389423942798978,-0.026581903623394677,-0.306653102814719,7.0,9.0,16.0,top5-liq10000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,8,36,-0.012309665521248911,-0.026519665160106086,-0.3070391090614071,10.0,8.0,18.0,top10-liq2000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,11,36,-0.019190801800092677,-0.025620913387063536,-0.3269305239157103,12.0,6.0,18.0,top10-liq10000000,False,2.0,1.0,3.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,3,36,-0.011585556796750272,-0.028018268400611748,-0.34157137209444177,8.0,12.0,20.0,top3-liq10000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,2,36,0.015525327407210354,-0.009500769246462957,-0.04673117330512011,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2026-01-01,2025-12-31,1,36,-0.006612377543330342,-0.018703078994673016,-0.28849332083635426,3.0,2.0,5.0,top3-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2026-01-01,2025-12-31,6,36,0.0011117448369126794,-0.022173643031168155,-0.24732223392813246,2.0,6.0,8.0,top5-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,5,36,-0.008357048907817084,-0.02091369084128241,-0.263401844443111,4.0,5.0,9.0,top5-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,9,36,-0.012317641317321491,-0.019669024182838755,-0.33284658609212325,6.0,3.0,9.0,top10-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,11,36,-0.012254212115447758,-0.02028031991594145,-0.3269305239157103,5.0,4.0,9.0,top10-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,0,36,-0.006790719195048683,-0.02202075860554491,-0.3241504505269406,4.0,6.0,10.0,top3-liq2000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,4,36,-0.009110124619996489,-0.024744958527313565,-0.18925532232757503,6.0,9.0,15.0,top5-liq2000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,7,36,-0.010962542011553628,-0.023541190166573942,-0.306653102814719,7.0,8.0,15.0,top5-liq10000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,3,36,-0.015538037135737131,-0.027048393684792775,-0.34157137209444177,10.0,12.0,22.0,top3-liq10000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,8,36,-0.016449992663474952,-0.02554136401431219,-0.3070391090614071,11.0,11.0,22.0,top10-liq2000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,10,36,-0.017122244748670676,-0.025089600738003908,-0.28638785501526165,12.0,10.0,22.0,top10-liq10000000,False,2.0,2.0,4.0,adaptive_stability_rank,False
