signal_date,risk_on,legacy_candidate_count,confirmed_candidate_count,legacy_top3,confirmed_top3,raw_top3_changed,executed_top3_changed,direct_candidate_change_count,action_direct_candidate_changes,unresolved_direct_candidate_changes,indirect_selected_changes,has_indirect_selection_effect,has_unresolved_indirect_selection_effect
2025-02-28,True,42,42,ROOT|EXEL|IDCC,ROOT|EXEL|IDCC,False,False,0,,,,False,False
2025-03-31,False,29,29,ADMA|CORT|TGTX,ADMA|CORT|TGTX,False,False,0,,,,False,False
2025-04-30,False,28,28,ADMA|TGTX|VIRT,ADMA|TGTX|VIRT,False,False,0,,,,False,False
2025-05-30,True,40,40,SEZL|HOOD|PLTR,SEZL|HOOD|PLTR,False,False,0,,,,False,False
2025-06-30,True,53,53,HOOD|SEZL|DAVE,HOOD|SEZL|DAVE,False,False,0,,,,False,False
2025-07-31,True,58,58,SOFI|AMSC|HOOD,SOFI|AMSC|HOOD,False,False,0,,,,False,False
2025-08-29,True,49,49,AFRM|SOFI|CRDO,AFRM|SOFI|CRDO,False,False,0,,,,False,False
2025-09-30,True,59,59,HOOD|INOD|APP,HOOD|INOD|APP,False,False,0,,,,False,False
2025-10-31,True,55,55,WDC|CRDO|COMM,WDC|CRDO|COMM,False,False,0,,,,False,False
2025-11-28,True,9,9,PTCT|CRDO|LITE,PTCT|CRDO|LITE,False,False,0,,,,False,False
2025-12-31,True,20,20,FTAI|VICR|MU,FTAI|VICR|MU,False,False,0,,,,False,False
2026-01-30,True,56,56,KNSA|LITE|MU,KNSA|LITE|MU,False,False,0,,,,False,False
2026-02-27,True,57,58,BTSG|FTAI|LITE,BTSG|FTAI|LITE,False,False,1,VISN,,,False,False
2026-03-31,False,41,42,PAHC|BTSG|MRVL,PAHC|BTSG|MRVL,False,False,1,VISN,,,False,False
2026-04-30,True,65,65,VISN|WDC|TTMI,VISN|WDC|TTMI,False,False,0,,,,False,False
2026-05-29,True,80,80,MU|CRDO|ONDS,MU|CRDO|ONDS,False,False,0,,,,False,False
2026-06-30,True,90,90,ALAB|VICR|KNSA,ALAB|VICR|KNSA,False,False,0,,,,False,False
2026-07-17,True,57,57,BTSG|INCY|LFST,BTSG|INCY|LFST,False,False,0,,,,False,False
