trade_id,signal_date,execution_date,ticker,side,normalized_gross_notional,prior_50d_median_dollar_volume,notional_at_100000_account,participation_at_100000_account,notional_at_1000000_account,participation_at_1000000_account,account_capacity_at_1pct_participation,account_capacity_at_5pct_participation
1,2019-02-28,2019-03-01,PCTY,BUY,0.3333333333333333,15818983.435,33333.33333333333,0.002107172908442541,333333.3333333333,0.021071729084425412,474569.50305000006,2372847.5152500006
2,2019-02-28,2019-03-01,NEO,BUY,0.3333333333333333,15775391.66,33333.33333333333,0.0021129956106163217,333333.3333333333,0.02112995610616322,473261.7498,2366308.7490000003
3,2019-02-28,2019-03-01,CZR,BUY,0.3333333333333333,32762985.16,33333.33333333333,0.0010174083091192088,333333.3333333333,0.010174083091192089,982889.5548,4914447.774000001
4,2019-03-29,2019-04-01,PCTY,BUY,0.002556864540047988,22884479.2,255.6864540047988,1.1172919941512098e-05,2556.864540047988,0.00011172919941512099,89502118.08862779,447510590.44313896
5,2019-03-29,2019-04-01,NEO,SELL,0.009879834983050598,14417643.309999999,987.9834983050598,6.852600505242072e-05,9879.834983050598,0.0006852600505242072,14593000.120684467,72965000.60342234
6,2019-03-29,2019-04-01,CZR,SELL,0.326682815738926,33485232.505000003,32668.2815738926,0.000975602650183617,326682.815738926,0.00975602650183617,1025007.4657052143,5125037.328526072
7,2019-03-29,2019-04-01,IONS,BUY,0.3333333333333333,60719307.025,33333.33333333333,0.0005489742055127371,333333.3333333333,0.005489742055127371,1821579.21075,9107896.05375
8,2019-04-30,2019-05-01,PCTY,SELL,0.020255685069605976,24222562.715,2025.5685069605977,8.362321240709389e-05,20255.685069605977,0.0008362321240709389,11958402.113659635,59792010.568298176
9,2019-04-30,2019-05-01,NEO,SELL,0.3472702115443303,14052150.67,34727.02115443303,0.002471295815847741,347270.2115443303,0.02471295815847741,404646.01347490447,2023230.0673745223
10,2019-04-30,2019-05-01,NMIH,BUY,0.3333333333333333,10721201.6,33333.33333333333,0.0031091042382164823,333333.3333333333,0.031091042382164823,321636.048,1608180.24
11,2019-04-30,2019-05-01,IONS,SELL,0.3004754380540652,83420306.46000001,30047.54380540652,0.0003601945986594319,300475.43805406516,0.003601945986594319,2776277.056129627,13881385.280648135
12,2019-04-30,2019-05-01,BAND,BUY,0.3333333333333333,11054417.455,33333.33333333333,0.003015385792062376,333333.3333333333,0.03015385792062376,331632.52365,1658162.61825
13,2019-05-31,2019-06-03,PCTY,SELL,0.3327869797098456,27252890.529999997,33278.69797098456,0.0012211070944695335,332786.9797098456,0.012211070944695335,818928.9903637932,4094644.951818966
14,2019-05-31,2019-06-03,NMIH,SELL,0.33869375451237055,10749127.8,33869.37545123706,0.0031508952243769076,338693.75451237056,0.031508952243769074,317370.1214383449,1586850.6071917242
15,2019-05-31,2019-06-03,BAND,SELL,0.3295202667787849,13531454.594999999,32952.026677878486,0.0024352168827477404,329520.26677878486,0.024352168827477406,410641.0427278514,2053205.213639257
16,2019-06-28,2019-07-01,TREE,BUY,0.3333333333333333,62442410.145,33333.33333333333,0.0005338252200055806,333333.3333333333,0.005338252200055807,1873272.3043500003,9366361.521750001
17,2019-06-28,2019-07-01,OSIS,BUY,0.3333333333333333,16011331.445,33333.33333333333,0.0020818589289613777,333333.3333333333,0.02081858928961378,480339.94335,2401699.7167500006
18,2019-06-28,2019-07-01,NMIH,BUY,0.3333333333333333,10417030.74,33333.33333333333,0.0031998881605809033,333333.3333333333,0.031998881605809035,312510.92220000003,1562554.611
19,2019-07-31,2019-08-01,ENPH,BUY,0.3333333333333333,59609574.61,33333.33333333333,0.000559194282989253,333333.3333333333,0.0055919428298925305,1788287.2383,8941436.1915
20,2019-07-31,2019-08-01,MASI,BUY,0.3333333333333333,51857601.78,33333.33333333333,0.0006427858633869383,333333.3333333333,0.006427858633869383,1555728.0534,7778640.267000001
21,2019-07-31,2019-08-01,MEDP,BUY,0.3333333333333333,17513227.835,33333.33333333333,0.0019033232278699084,333333.3333333333,0.019033232278699085,525396.8350500001,2626984.1752500003
22,2019-07-31,2019-08-01,TREE,SELL,0.29629800167215,61404504.685,29629.800167215,0.0004825346335617135,296298.00167215,0.004825346335617135,2072390.105180099,10361950.525900494
23,2019-07-31,2019-08-01,OSIS,SELL,0.368731995179104,16194873.2,36873.1995179104,0.002276843977877542,368731.995179104,0.02276843977877542,439204.4469082123,2196022.234541062
24,2019-07-31,2019-08-01,NMIH,SELL,0.3369720051507481,11674886.25,33697.20051507481,0.0028862979727168484,336972.0051507481,0.02886297972716849,346464.5748473115,1732322.8742365574
25,2019-08-30,2019-09-03,ENPH,SELL,0.314166512044482,108385929.13,31416.651204448197,0.00028985913076195075,314166.512044482,0.002898591307619508,3449951.6967821806,17249758.483910903
26,2019-08-30,2019-09-03,MASI,SELL,0.33770084893006797,41585480.16,33770.084893006795,0.0008120643254106122,337700.84893006796,0.008120643254106122,1231429.541612187,6157147.708060935
27,2019-08-30,2019-09-03,MEDP,SELL,0.3501346410274522,22100909.415,35013.464102745216,0.001584254450587513,350134.6410274522,0.01584254450587513,631211.7347242767,3156058.673621384
28,2019-08-30,2019-09-03,SBAC,BUY,0.3333333333333333,124913707.77245788,33333.33333333333,0.0002668508839242299,333333.3333333333,0.002668508839242299,3747411.2331737364,18737056.165868685
29,2019-08-30,2019-09-03,ARWR,BUY,0.3333333333333333,32924532.85,33333.33333333333,0.0010124162880365158,333333.3333333333,0.010124162880365158,987735.9855000001,4938679.9275
30,2019-08-30,2019-09-03,NEO,BUY,0.3333333333333333,16690500.55,33333.33333333333,0.001997144018148295,333333.3333333333,0.01997144018148295,500715.0165,2503575.0825000005
31,2019-09-30,2019-10-01,PODD,BUY,0.3333333333333333,99495123.44999999,33333.33333333333,0.00033502479495977076,333333.3333333333,0.0033502479495977084,2984853.7035,14924268.517499998
32,2019-09-30,2019-10-01,ACGL,BUY,0.3333333333333333,47745787.66,33333.33333333333,0.0006981418668951817,333333.3333333333,0.006981418668951818,1432373.6298,7161868.149
33,2019-09-30,2019-10-01,SBAC,SELL,0.02050543159551602,162984636.42878157,2050.543159551602,1.2581205225730682e-05,20505.43159551602,0.00012581205225730682,79483641.03900251,397418205.19501257
34,2019-09-30,2019-10-01,ARWR,SELL,0.3360615644369961,40793657.379999995,33606.156443699605,0.0008238083712537081,336061.56443699606,0.008238083712537082,1213874.530648621,6069372.653243106
35,2019-09-30,2019-10-01,NEO,SELL,0.3114343386354893,17517236.51,31143.43386354893,0.0017778736871977604,311434.3386354893,0.0177787368719776,562469.6552971515,2812348.2764857574
36,2019-10-31,2019-11-01,PODD,SELL,0.3084691243299657,116612322.51499999,30846.91243299657,0.00026452532432006656,308469.1243299657,0.0026452532432006655,3780356.3895834577,18901781.94791729
37,2019-10-31,2019-11-01,ACGL,SELL,0.3461281230852619,50453171.16500001,34612.81230852619,0.0006860383898433232,346128.1230852619,0.006860383898433233,1457644.3750157757,7288221.875078879
38,2019-10-31,2019-11-01,DIOD,BUY,0.3333333333333333,11950661.185,33333.33333333333,0.0027892459519454887,333333.3333333333,0.02789245951945489,358519.83555,1792599.1777500003
39,2019-10-31,2019-11-01,SBAC,SELL,0.3474047545867743,166387222.7617975,34740.47545867743,0.00020879292821908825,347404.7545867743,0.0020879292821908823,4789434.2424791865,23947171.212395933
40,2019-10-31,2019-11-01,ARWR,BUY,0.3333333333333333,41866368.19499999,33333.33333333333,0.0007961840200247953,333333.3333333333,0.007961840200247953,1255991.0458499999,6279955.229249999
41,2019-10-31,2019-11-01,VIAV,BUY,0.3333333333333333,25685791.155,33333.33333333333,0.0012977343439485474,333333.3333333333,0.012977343439485475,770573.7346500001,3852868.6732500005
42,2019-11-29,2019-12-02,ADSK,BUY,0.3333333333333333,203123037.565,33333.33333333333,0.0001641041495486033,333333.3333333333,0.0016410414954860333,6093691.12695,30468455.634750005
43,2019-11-29,2019-12-02,DIOD,SELL,0.2835328734958905,11820681.625,28353.287349589053,0.0023986169536639604,283532.8734958905,0.023986169536639602,416906.91732686607,2084534.5866343305
44,2019-11-29,2019-12-02,INCY,BUY,0.3333333333333333,81003968.84,33333.33333333333,0.0004115024709366244,333333.3333333333,0.004115024709366244,2430119.0652000005,12150595.326000001
45,2019-11-29,2019-12-02,ARWR,SELL,0.11675283843826209,46971283.95,11675.28384382621,0.0002485621610057395,116752.83843826209,0.002485621610057395,4023138.5016680364,20115692.50834018
46,2019-11-29,2019-12-02,VIAV,SELL,0.2677156227338487,24819598.950000003,26771.56227338487,0.0010786460461072384,267715.6227338487,0.010786460461072385,927088.1802319984,4635440.901159992
47,2019-12-31,2020-01-02,ACIW,BUY,0.3333333333333333,18131374.125,33333.33333333333,0.0018384339269340033,333333.3333333333,0.018384339269340036,543941.22375,2719706.1187500004
