series,peak_date,underwater_start,trough_date,maximum_drawdown,underwater_sessions,underwater_end,recovery_date,recovered,peak_to_recovery_sessions,peak_to_recovery_calendar_days
strategy,2021-01-07,2021-01-08,2021-01-11,-0.06321830172598508,6,2021-01-15,2021-01-19,True,7,12
strategy,2021-01-19,2021-01-20,2021-01-20,-0.03460275392695156,5,2021-01-26,2021-01-27,True,6,8
strategy,2021-02-01,2021-02-02,2021-02-02,-0.0669829086853524,3,2021-02-04,2021-02-05,True,4,4
strategy,2021-02-09,2021-02-10,2021-03-08,-0.38775138709036194,124,2021-08-06,2021-08-09,True,125,181
strategy,2021-08-09,2021-08-10,2022-01-27,-0.3520170908968082,460,2023-06-07,2023-06-08,True,461,668
strategy,2023-06-09,2023-06-12,2023-06-26,-0.12123819864243501,23,2023-07-14,2023-07-17,True,24,38
strategy,2023-07-17,2023-07-18,2023-10-04,-0.1332635726297111,128,2024-01-18,2024-01-19,True,129,186
strategy,2024-01-23,2024-01-24,2024-01-25,-0.004933844499946605,3,2024-01-26,2024-01-29,True,4,6
strategy,2024-01-30,2024-01-31,2024-01-31,-0.016432522823579654,2,2024-02-01,2024-02-02,True,3,3
strategy,2024-02-05,2024-02-06,2024-02-06,-0.01783550715364035,2,2024-02-07,2024-02-08,True,3,3
strategy,2024-02-12,2024-02-13,2024-02-13,-0.02186668578046036,1,2024-02-13,2024-02-14,True,2,2
strategy,2024-02-15,2024-02-16,2024-02-20,-0.023722927445771647,3,2024-02-21,2024-02-22,True,4,7
strategy,2024-02-29,2024-03-01,2024-03-01,-0.00532228053857331,1,2024-03-01,2024-03-04,True,2,4
strategy,2024-03-04,2024-03-05,2024-03-11,-0.061791614387488925,6,2024-03-12,2024-03-13,True,7,9
strategy,2024-03-13,2024-03-14,2024-04-02,-0.11803350297137805,35,2024-05-02,2024-05-03,True,36,51
strategy,2024-05-09,2024-05-10,2024-05-13,-0.03786415467550619,6,2024-05-17,2024-05-20,True,7,11
strategy,2024-05-21,2024-05-22,2024-05-22,-0.01429340557271952,2,2024-05-23,2024-05-24,True,3,3
