test_year,training_years,rolling_training_years,config_ids,portfolio_state,strategy,nasdaq,excess_vs_nasdaq,average_invested,invested_days_pct,average_holdings,annual_turnover
2022,expanding from 2019 through each prior cutoff,36 months through each prior cutoff,"{""2022-01-01"": [11]}",continuous,-0.16898572744156914,-0.3310002555645566,0.16201452812298744,0.0796812749003984,0.0796812749003984,0.398406374501992,1.999000999000999
2023,expanding from 2019 through each prior cutoff,36 months through each prior cutoff,"{""2023-01-01"": [11]}",continuous,0.2546579695127609,0.43423103966916465,-0.17957307015640378,0.9200000000000002,0.92,4.6,13.094072962741748
2024,expanding from 2019 through each prior cutoff,36 months through each prior cutoff,"{""2024-01-01"": [11]}",continuous,1.2331414030709715,0.28641246683135235,0.9467289362396192,1.0,1.0,5.0,15.26784057986492
2025,expanding from 2019 through each prior cutoff,36 months through each prior cutoff,"{""2025-01-01"": [3, 1, 10]}",continuous,0.12711492002842584,0.20357524453555675,-0.07646032450713092,0.832,0.832,4.564,16.19043620572578
2026,expanding from 2019 through each prior cutoff,36 months through each prior cutoff,"{""2026-01-01"": [3, 10, 6]}",continuous,0.15152084136320276,0.09802301782248235,0.05349782354072041,0.8467153284671532,0.8467153284671532,4.781021897810219,10.861849448097654
