config_id,segment,start,end,strategy,nasdaq,excess_vs_nasdaq
0,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
0,2019-06,2019-06-28,2019-07-31,-0.11360168821653638,0.02606254520875484,-0.13966423342529122
0,2019-11_12,2019-11-29,2019-12-31,-0.017611858356038623,0.03072079041214315,-0.048332648768181774
1,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
1,2019-06,2019-06-28,2019-07-31,-0.1282757945392321,0.02606254520875484,-0.15433833974798694
1,2019-11_12,2019-11-29,2019-12-31,-0.010830506711136278,0.03072079041214315,-0.04155129712327943
2,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
2,2019-06,2019-06-28,2019-07-31,-0.08379191432155164,0.02606254520875484,-0.10985445953030648
2,2019-11_12,2019-11-29,2019-12-31,0.004533485801559101,0.03072079041214315,-0.02618730461058405
3,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
3,2019-06,2019-06-28,2019-07-31,-0.06863345919188824,0.02606254520875484,-0.09469600440064307
3,2019-11_12,2019-11-29,2019-12-31,0.005042396127864945,0.03072079041214315,-0.025678394284278205
4,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
4,2019-06,2019-06-28,2019-07-31,-0.019892817606100954,0.02606254520875484,-0.045955362814855794
4,2019-11_12,2019-11-29,2019-12-31,0.006433171079531341,0.03072079041214315,-0.02428761933261181
5,2019-01,2019-01-31,2019-02-28,0.0,0.0486490050417232,-0.0486490050417232
5,2019-06,2019-06-28,2019-07-31,-0.025340224726706273,0.02606254520875484,-0.05140276993546111
5,2019-11_12,2019-11-29,2019-12-31,0.013504145631133113,0.03072079041214315,-0.017216644781010038
