year,reference_strategy,reference_benchmark,reference_excess_vs_nasdaq,candidate_strategy,candidate_benchmark,candidate_excess_vs_nasdaq,strategy_delta,excess_delta
2021,0.5328687004143202,0.21389107231062865,0.31897762810369157,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.08649600090035126,-0.08649600090035126
2022,-0.18511262178252696,-0.3310002555645566,0.14588763378202962,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,3.3306690738754696e-16,3.3306690738754696e-16
2023,0.5493150925316179,0.43423103966916465,0.11508405286245327,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.16181522616757338,-0.16181522616757338
2024,2.2998822003411163,0.28641246683135235,2.0134697335097638,2.8656222957236266,0.28641246683135235,2.5792098288922745,0.5657400953825102,0.5657400953825107
2025,0.29430943630650175,0.20357524453555675,0.090734191770945,0.1328478567402307,0.20357524453555675,-0.07072738779532606,-0.16146157956627105,-0.16146157956627105
2026,0.21313206571487742,0.09802301782248235,0.11510904789239507,0.3606799325780772,0.09802301782248235,0.26265691475559483,0.14754786686319976,0.14754786686319976
