year,legacy_strategy,legacy_nasdaq,legacy_excess_vs_nasdaq,legacy_maximum_drawdown,legacy_annualized_volatility,legacy_average_invested,legacy_average_holdings,legacy_annual_turnover,confirmed_strategy,confirmed_nasdaq,confirmed_excess_vs_nasdaq,confirmed_maximum_drawdown,confirmed_annualized_volatility,confirmed_average_invested,confirmed_average_holdings,confirmed_annual_turnover,strategy_return_delta
2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,0.0
2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,0.0
2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,0.0
2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,0.0
2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,0.0
2026,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,0.0
