cost_bps,year,strategy,nasdaq,excess_vs_nasdaq
10.0,2021,0.3249144223437683,0.21389107231062865,0.11102335003313968
10.0,2022,-0.13836938508261853,-0.3310002555645566,0.19263087048193805
10.0,2023,0.10865555979129038,0.43423103966916465,-0.3255754798778743
10.0,2024,0.5247782115406028,0.28641246683135235,0.23836574470925043
10.0,2025,0.3472678838747907,0.20357524453555675,0.14369263933923393
10.0,2026,0.341849869734989,0.09802301782248235,0.24382685191250664
30.0,2021,0.2863759920027913,0.21389107231062865,0.07248491969216264
30.0,2022,-0.14284387465693293,-0.3310002555645566,0.18815638090762365
30.0,2023,0.07943665021516066,0.43423103966916465,-0.354794389454004
30.0,2024,0.47749433308064115,0.28641246683135235,0.1910818662492888
30.0,2025,0.3104420244253121,0.20357524453555675,0.10686677988975535
30.0,2026,0.31885458684008783,0.09802301782248235,0.22083156901760548
50.0,2021,0.24893056284135717,0.21389107231062865,0.03503949053072852
50.0,2022,-0.14730076725138186,-0.3310002555645566,0.18369948831317473
50.0,2023,0.05096878224663315,0.43423103966916465,-0.3832622574225315
50.0,2024,0.431641505092037,0.28641246683135235,0.14522903826068467
50.0,2025,0.2745944819201358,0.20357524453555675,0.07101923738457905
50.0,2026,0.29624689689166916,0.09802301782248235,0.19822387906918681
