cost_bps,test_year,strategy,nasdaq,excess_vs_nasdaq
10.0,2022,-0.16898572744156914,-0.3310002555645566,0.16201452812298744
10.0,2023,0.2546579695127609,0.43423103966916465,-0.17957307015640378
10.0,2024,1.2331414030709715,0.28641246683135235,0.9467289362396192
10.0,2025,0.1403806185148806,0.20357524453555675,-0.06319462602067616
10.0,2026,0.16312419138369294,0.09802301782248235,0.06510117356121059
30.0,2022,-0.17230315961974318,-0.3310002555645566,0.1586970959448134
30.0,2023,0.2221893773524688,0.43423103966916465,-0.21204166231669586
30.0,2024,1.1658924465039044,0.28641246683135235,0.8794799796725521
30.0,2025,0.10421842225550204,0.20357524453555675,-0.09935682228005471
30.0,2026,0.13810709124244047,0.09802301782248235,0.04008407341995812
50.0,2022,-0.17560738808775544,-0.3310002555645566,0.15539286747680114
50.0,2023,0.19053745593078375,0.43423103966916465,-0.2436935837383809
50.0,2024,1.1006116194933644,0.28641246683135235,0.814199152662012
50.0,2025,0.06919975993978356,0.20357524453555675,-0.1343754845957732
50.0,2026,0.11362590031433761,0.09802301782248235,0.015602882491855263
