cost_bps,year,strategy,nasdaq,excess_vs_nasdaq
0.0,2021,0.4746125626436122,0.21389107231062865,0.26072149033298353
0.0,2022,-0.18266387949942886,-0.3310002555645566,0.14833637606512773
0.0,2023,0.408541360642104,0.43423103966916465,-0.025689679027060652
0.0,2024,2.920755581367387,0.28641246683135235,2.6343431145360343
0.0,2025,0.24838354241317795,0.20357524453555675,0.044808297877621195
0.0,2026,0.3752727624738419,0.09802301782248235,0.27724974465135954
10.0,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403
10.0,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996
10.0,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011
10.0,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745
10.0,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385
10.0,2026,0.36067993257808095,0.09802301782248235,0.2626569147555986
30.0,2021,0.39147888892884253,0.21389107231062865,0.17758781661821388
30.0,2022,-0.18999056849187212,-0.3310002555645566,0.14100968707268446
30.0,2023,0.3463481620171973,0.43423103966916465,-0.08788287765196734
30.0,2024,2.757608863995098,0.28641246683135235,2.4711963971637454
30.0,2025,0.18959325494318424,0.20357524453555675,-0.013981989592372512
30.0,2026,0.33194994614960494,0.09802301782248235,0.23392692832712259
50.0,2021,0.3386345758666598,0.21389107231062865,0.12474350355603114
50.0,2022,-0.19484259432977302,-0.3310002555645566,0.13615766123478357
50.0,2023,0.30640769286277414,0.43423103966916465,-0.12782334680639051
50.0,2024,2.6525328592708344,0.28641246683135235,2.3661203924394822
50.0,2025,0.1519298826778437,0.20357524453555675,-0.05164536185771307
50.0,2026,0.30381698995675577,0.09802301782248235,0.20579397213427342
