cost_bps,test_year,strategy,nasdaq,excess_vs_nasdaq
10.0,2022,-0.16898572744156914,-0.3310002555645566,0.16201452812298744
10.0,2023,-0.19994154017636612,0.43423103966916465,-0.6341725798455308
10.0,2024,0.8816724792382213,0.28641246683135235,0.595260012406869
10.0,2025,0.24427376768264408,0.20357524453555675,0.04069852314708733
10.0,2026,0.04653662005907444,0.09802301782248235,-0.05148639776340791
30.0,2022,-0.17230315961974318,-0.3310002555645566,0.1586970959448134
30.0,2023,-0.22488453541679376,0.43423103966916465,-0.6591155750859584
30.0,2024,0.8218208276596297,0.28641246683135235,0.5354083608282774
30.0,2025,0.200173204984041,0.20357524453555675,-0.0034020395515157453
30.0,2026,0.02416586548471633,0.09802301782248235,-0.07385715233776602
50.0,2022,-0.17560738808775544,-0.3310002555645566,0.15539286747680114
50.0,2023,-0.2490596731162017,0.43423103966916465,-0.6832907127853663
50.0,2024,0.7638396514634043,0.28641246683135235,0.4774271846320519
50.0,2025,0.1576275892127379,0.20357524453555675,-0.04594765532281886
50.0,2026,0.002265378084505665,0.09802301782248235,-0.09575763973797669
