signal_date,ticker,legacy_candidate,confirmed_candidate,legacy_selected,confirmed_selected,legacy_score,confirmed_score,score_delta,legacy_rank,confirmed_rank,candidate_membership_changed,has_price_event,has_unresolved_price_event,price_event_statuses
2019-01-31,CZR,True,True,True,True,0.7328125,0.7328125,0.0,2.0,2.0,False,False,False,
2019-01-31,DXCM,True,True,True,True,0.725,0.725,0.0,3.0,3.0,False,False,False,
2019-01-31,MEDP,True,True,True,True,0.8234375,0.8234375,0.0,1.0,1.0,False,False,False,
2019-02-28,CZR,True,True,True,True,0.8222222222222223,0.8222222222222223,0.0,1.0,1.0,False,False,False,
2019-02-28,NEO,True,True,True,True,0.7811111111111111,0.7811111111111111,0.0,3.0,3.0,False,False,False,
2019-02-28,PCTY,True,True,True,True,0.8166666666666667,0.8166666666666667,0.0,2.0,2.0,False,False,False,
2019-03-29,IONS,True,True,True,True,0.8203125,0.8203125,0.0,2.0,2.0,False,False,False,
2019-03-29,NEO,True,True,True,True,0.8609375,0.8609375,0.0,1.0,1.0,False,False,False,
2019-03-29,PCTY,True,True,True,True,0.7833333333333333,0.7833333333333333,0.0,3.0,3.0,False,False,False,
2019-04-30,BAND,True,True,True,True,0.8025510204081633,0.8025510204081633,0.0,1.0,1.0,False,False,False,
2019-04-30,NMIH,True,True,True,True,0.7551020408163266,0.7551020408163266,0.0,3.0,3.0,False,False,False,
2019-04-30,PCTY,True,True,True,True,0.7607142857142857,0.7607142857142857,0.0,2.0,2.0,False,False,False,
2019-05-31,ARWR,True,True,True,True,0.773076923076923,0.773076923076923,0.0,2.0,2.0,False,True,False,CONFIRMED_MARKET_MOVE
2019-05-31,ERIE,True,True,True,True,0.7288461538461539,0.7288461538461539,0.0,3.0,3.0,False,False,False,
2019-05-31,NMIH,True,True,True,True,0.8076923076923077,0.8076923076923077,0.0,1.0,1.0,False,False,False,
2019-06-28,NMIH,True,True,True,True,0.7531914893617022,0.7531914893617022,0.0,1.0,1.0,False,False,False,
2019-06-28,OSIS,True,True,True,True,0.7351063829787234,0.7351063829787234,0.0,3.0,3.0,False,False,False,
2019-06-28,TREE,True,True,True,True,0.7468085106382979,0.7468085106382979,0.0,2.0,2.0,False,False,False,
