year,strategy,benchmark,excess_vs_nasdaq
2019,-0.19360693325642364,0.35225640371638733,-0.545863336972811
2020,0.97215759166501,0.4364044730135952,0.5357531186514148
2021,0.41375289199850984,0.21389107231062865,0.1998618196878812
2022,-0.18511262178252674,-0.3310002555645566,0.14588763378202985
2023,0.5493150925316208,0.43423103966916465,0.11508405286245615
2024,2.2998822003411203,0.28641246683135235,2.013469733509768
2025,0.29430943630649975,0.20357524453555675,0.090734191770943
2026,0.21313206571487875,0.09802301782248235,0.1151090478923964
