cost_bps,test_year,strategy,nasdaq,excess_vs_nasdaq
10.0,2022,-0.19650811399863466,-0.3310002555645566,0.13449214156592193
10.0,2023,0.18690880574103352,0.43423103966916465,-0.24732223392813113
10.0,2024,1.3441227546344692,0.28641246683135235,1.0577102878031168
10.0,2025,0.19664945538530865,0.20357524453555675,-0.006925789150248107
10.0,2026,0.45019196232129044,0.09802301782248235,0.3521689444988081
30.0,2022,-0.1997156760412413,-0.3310002555645566,0.1312845795233153
30.0,2023,0.1552701724630079,0.43423103966916465,-0.27896086720615676
30.0,2024,1.2787081817293107,0.28641246683135235,0.9922957148979583
30.0,2025,0.1571837745032818,0.20357524453555675,-0.04639147003227495
30.0,2026,0.4192556488737693,0.09802301782248235,0.32123263105128697
50.0,2022,-0.20291047166775833,-0.3310002555645566,0.12808978389679826
50.0,2023,0.12445697742458117,0.43423103966916465,-0.3097740622445835
50.0,2024,1.2150725458689844,0.28641246683135235,0.928660079037632
50.0,2025,0.11901467369014496,0.20357524453555675,-0.0845605708454118
50.0,2026,0.3889681957371405,0.09802301782248235,0.2909451779146581
