scenario,year,strategy,nasdaq,excess_vs_nasdaq,maximum_drawdown,annualized_volatility,average_invested,average_holdings,annual_turnover,maximum_snapshot_age_days,maximum_financial_age_days,adjust_splits,price_adjustment_method
baseline,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,True,integer_ratio_heuristic
baseline,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,True,integer_ratio_heuristic
baseline,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,True,integer_ratio_heuristic
baseline,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,True,integer_ratio_heuristic
baseline,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,True,integer_ratio_heuristic
baseline,2026,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,,550,True,integer_ratio_heuristic
snapshot_max_40d,2021,0.44637269951396874,0.21389107231062865,0.2324816272033401,-0.3877513870903627,0.47179182562919036,1.0,3.0,19.320233248923685,40,550,True,integer_ratio_heuristic
snapshot_max_40d,2022,-0.18511262178252696,-0.3310002555645566,0.14588763378202962,-0.2718524337607954,0.14574200197240697,0.0796812749003984,0.23904382470119523,2.998001998001998,40,550,True,integer_ratio_heuristic
snapshot_max_40d,2023,0.3874998663640479,0.43423103966916465,-0.04673117330511678,-0.1332635726297109,0.2874096941904867,0.92,2.76,15.039773369638807,40,550,True,integer_ratio_heuristic
snapshot_max_40d,2024,2.8656222957236217,0.28641246683135235,2.579209828892269,-0.2147429304652908,0.5300277431581876,1.0,3.0,14.152022867097656,40,550,True,integer_ratio_heuristic
