scenario,year,strategy,nasdaq,excess_vs_nasdaq,maximum_drawdown,annualized_volatility,average_invested,average_holdings,annual_turnover,maximum_snapshot_age_days,maximum_financial_age_days,adjust_splits,price_adjustment_method
snapshot_max_40d,2025,0.2284742396952728,0.20357524453555675,0.024898995159716053,-0.29383210738437326,0.45459099416962073,0.832,2.496,16.063729476301,40,550,True,integer_ratio_heuristic
snapshot_max_40d,2026,0.3606799325780792,0.09802301782248235,0.2626569147555968,-0.319837388796428,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982333,40,550,True,integer_ratio_heuristic
snapshot_max_30d,2021,0.44637269951396963,0.21389107231062865,0.23248162720334098,-0.3877513870903624,0.47179182562919036,1.0,3.0,19.32023324892368,30,550,True,integer_ratio_heuristic
snapshot_max_30d,2022,-0.18511262178252674,-0.3310002555645566,0.14588763378202985,-0.27185243376079515,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019974,30,550,True,integer_ratio_heuristic
snapshot_max_30d,2023,0.3874998663640441,0.43423103966916465,-0.046731173305120555,-0.13326357262971167,0.28740969419048684,0.92,2.76,15.039773369638809,30,550,True,integer_ratio_heuristic
snapshot_max_30d,2024,2.8656222957236346,0.28641246683135235,2.5792098288922825,-0.21474293046529003,0.5300277431581879,1.0,3.0,14.152022867097656,30,550,True,integer_ratio_heuristic
snapshot_max_30d,2025,0.22847423969527303,0.20357524453555675,0.024898995159716275,-0.2938321073843738,0.45459099416962084,0.832,2.496,16.063729476301,30,550,True,integer_ratio_heuristic
snapshot_max_30d,2026,0.3606799325780783,0.09802301782248235,0.26265691475559594,-0.3198373887964282,0.5905131215629806,0.8467153284671532,2.54014598540146,10.658785066982333,30,550,True,integer_ratio_heuristic
financial_max_200d,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,200,True,integer_ratio_heuristic
financial_max_200d,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,200,True,integer_ratio_heuristic
financial_max_200d,2023,0.5079556323267764,0.43423103966916465,0.07372459265761178,-0.1332635726297119,0.2921823638133325,0.92,2.76,14.37466040862448,,200,True,integer_ratio_heuristic
financial_max_200d,2024,2.865622295723628,0.28641246683135235,2.5792098288922753,-0.21474293046529092,0.5300277431581878,1.0,3.0,14.152022867097656,,200,True,integer_ratio_heuristic
financial_max_200d,2025,0.22847423969527303,0.20357524453555675,0.024898995159716275,-0.2938321073843734,0.45459099416962073,0.832,2.496,16.063729476301,,200,True,integer_ratio_heuristic
financial_max_200d,2026,0.3606799325780774,0.09802301782248235,0.26265691475559505,-0.3198373887964282,0.5905131215629805,0.8467153284671532,2.54014598540146,10.658785066982334,,200,True,integer_ratio_heuristic
financial_max_150d,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,150,True,integer_ratio_heuristic
financial_max_150d,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,150,True,integer_ratio_heuristic
financial_max_150d,2023,0.5079556323267764,0.43423103966916465,0.07372459265761178,-0.1332635726297119,0.2921823638133325,0.92,2.76,14.37466040862448,,150,True,integer_ratio_heuristic
financial_max_150d,2024,2.865622295723628,0.28641246683135235,2.5792098288922753,-0.21474293046529092,0.5300277431581878,1.0,3.0,14.152022867097656,,150,True,integer_ratio_heuristic
financial_max_150d,2025,0.22847423969527303,0.20357524453555675,0.024898995159716275,-0.2938321073843734,0.45459099416962073,0.832,2.496,16.063729476301,,150,True,integer_ratio_heuristic
financial_max_150d,2026,0.3606799325780774,0.09802301782248235,0.26265691475559505,-0.3198373887964282,0.5905131215629805,0.8467153284671532,2.54014598540146,10.658785066982334,,150,True,integer_ratio_heuristic
financial_max_120d,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,120,True,integer_ratio_heuristic
financial_max_120d,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,120,True,integer_ratio_heuristic
financial_max_120d,2023,0.5079556323267764,0.43423103966916465,0.07372459265761178,-0.1332635726297119,0.2921823638133325,0.92,2.76,14.37466040862448,,120,True,integer_ratio_heuristic
financial_max_120d,2024,2.865622295723628,0.28641246683135235,2.5792098288922753,-0.21474293046529092,0.5300277431581878,1.0,3.0,14.152022867097656,,120,True,integer_ratio_heuristic
financial_max_120d,2025,0.22847423969527303,0.20357524453555675,0.024898995159716275,-0.2938321073843734,0.45459099416962073,0.832,2.496,16.063729476301,,120,True,integer_ratio_heuristic
financial_max_120d,2026,0.3606799325780774,0.09802301782248235,0.26265691475559505,-0.3198373887964282,0.5905131215629805,0.8467153284671532,2.54014598540146,10.658785066982334,,120,True,integer_ratio_heuristic
no_split_adjustment_stress,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,False,none
no_split_adjustment_stress,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,False,none
no_split_adjustment_stress,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,False,none
no_split_adjustment_stress,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,False,none
no_split_adjustment_stress,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,False,none
no_split_adjustment_stress,2026,0.22233258652319,0.09802301782248235,0.12430956870070764,-0.32084093385413515,0.5918042468666878,0.8467153284671532,2.54014598540146,11.32389802799666,,550,False,none
confirmed_selected_actions_only,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,False,confirmed_selected_actions
confirmed_selected_actions_only,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,False,confirmed_selected_actions
confirmed_selected_actions_only,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,False,confirmed_selected_actions
confirmed_selected_actions_only,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,False,confirmed_selected_actions
confirmed_selected_actions_only,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,False,confirmed_selected_actions
confirmed_selected_actions_only,2026,0.26050294591590295,0.09802301782248235,0.1624799280934206,-0.31983738879642776,0.5945310564922786,0.8467153284671532,2.54014598540146,11.32389802799666,,550,False,confirmed_selected_actions
confirmed_all_actions_only,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,False,confirmed_all_actions
confirmed_all_actions_only,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,False,confirmed_all_actions
confirmed_all_actions_only,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,False,confirmed_all_actions
confirmed_all_actions_only,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,False,confirmed_all_actions
confirmed_all_actions_only,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,False,confirmed_all_actions
confirmed_all_actions_only,2026,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,,550,False,confirmed_all_actions
confirmed_all_with_contemporaneous_price_filter,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_with_contemporaneous_price_filter,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_with_contemporaneous_price_filter,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_with_contemporaneous_price_filter,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_with_contemporaneous_price_filter,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_with_contemporaneous_price_filter,2026,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,,550,False,confirmed_all_actions_with_contemporaneous_price_filter
confirmed_all_plus_failed_heuristic_stress,2021,0.44637269951396896,0.21389107231062865,0.2324816272033403,-0.3877513870903624,0.4717918256291902,1.0,3.0,19.32023324892368,,550,False,confirmed_all_actions_plus_failed_heuristic
confirmed_all_plus_failed_heuristic_stress,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996,-0.27185243376079504,0.14574200197240705,0.0796812749003984,0.23904382470119523,2.9980019980019983,,550,False,confirmed_all_actions_plus_failed_heuristic
confirmed_all_plus_failed_heuristic_stress,2023,0.38749986636404454,0.43423103966916465,-0.04673117330512011,-0.13326357262971222,0.2874096941904868,0.92,2.76,15.039773369638809,,550,False,confirmed_all_actions_plus_failed_heuristic
confirmed_all_plus_failed_heuristic_stress,2024,2.8656222957236266,0.28641246683135235,2.5792098288922745,-0.21474293046529092,0.530027743158188,1.0,3.0,14.152022867097656,,550,False,confirmed_all_actions_plus_failed_heuristic
confirmed_all_plus_failed_heuristic_stress,2025,0.22847423969527414,0.20357524453555675,0.024898995159717385,-0.2938321073843734,0.4545909941696209,0.832,2.496,16.063729476301,,550,False,confirmed_all_actions_plus_failed_heuristic
confirmed_all_plus_failed_heuristic_stress,2026,0.36067993257808095,0.09802301782248235,0.2626569147555986,-0.3198373887964281,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982334,,550,False,confirmed_all_actions_plus_failed_heuristic
combined_40d_snapshot_150d_financial,2021,0.44637269951396874,0.21389107231062865,0.2324816272033401,-0.3877513870903627,0.47179182562919036,1.0,3.0,19.320233248923685,40,150,True,integer_ratio_heuristic
combined_40d_snapshot_150d_financial,2022,-0.18511262178252696,-0.3310002555645566,0.14588763378202962,-0.2718524337607954,0.14574200197240697,0.0796812749003984,0.23904382470119523,2.998001998001998,40,150,True,integer_ratio_heuristic
combined_40d_snapshot_150d_financial,2023,0.5079556323267791,0.43423103966916465,0.07372459265761444,-0.133263572629711,0.29218236381333285,0.92,2.76,14.374660408624482,40,150,True,integer_ratio_heuristic
combined_40d_snapshot_150d_financial,2024,2.8656222957236333,0.28641246683135235,2.5792098288922807,-0.21474293046529025,0.5300277431581878,1.0,3.0,14.152022867097656,40,150,True,integer_ratio_heuristic
combined_40d_snapshot_150d_financial,2025,0.22847423969527458,0.20357524453555675,0.02489899515971783,-0.29383210738437227,0.45459099416962073,0.832,2.496,16.063729476301,40,150,True,integer_ratio_heuristic
combined_40d_snapshot_150d_financial,2026,0.36067993257807873,0.09802301782248235,0.2626569147555964,-0.31983738879642787,0.5905131215629804,0.8467153284671532,2.54014598540146,10.658785066982333,40,150,True,integer_ratio_heuristic
