ticker,split_date,raw_price_ratio,matched_factor,relative_error,selected_by_fixed_top3,requires_external_confirmation
ANTE,2025-03-17,1.9793459552495698,2.0,0.0103270223752151,False,False
ANTE,2025-10-16,0.5026232948583421,0.5,0.005246589716684236,False,False
WTO,2025-10-16,0.11123966942148766,0.1111111111111111,0.0011570247933889721,False,False
TLIS,2024-08-07,0.5066815144766147,0.5,0.013363028953229383,False,False
AISP,2024-03-05,3.0000000000000004,3.0,2.220446049250313e-16,False,False
SKBL,2025-07-07,0.12419354838709673,0.125,0.006451612903226156,False,False
ISPO,2022-02-18,0.496492174851592,0.5,0.007015650296815945,False,False
XMAX,2023-12-28,3.032258064516129,3.0,0.010752688172043001,False,False
TLRY,2021-02-11,0.5032076357377562,0.5,0.006415271475512352,False,False
SKYQ,2026-04-02,2.015810276679842,2.0,0.007905138339920903,False,False
OWLS,2025-10-22,0.4882051282051282,0.5,0.02358974358974364,False,False
ELDN,2020-09-15,2.928740013193579,3.0,0.02375332893547366,False,False
ELDN,2025-11-07,0.5024390243902439,0.5,0.004878048780487809,False,False
AHMA,2025-12-01,2.9812889812889813,3.0,0.006237006237006182,False,False
AHMA,2026-03-23,0.4928492849284929,0.5,0.014301430143014215,False,False
NIVF,2024-04-03,0.32860262010812635,0.3333333333333333,0.01419213967562094,False,False
NIVF,2024-04-04,0.4983388703399172,0.5,0.0033222593201656103,False,False
SVC,2025-06-24,4.938524590163935,5.0,0.012295081967213073,False,False
DRRX,2023-11-08,0.20426356589147288,0.2,0.02131782945736438,False,False
PMEC,2024-03-28,0.33247422680412375,0.3333333333333333,0.002577319587628746,False,False
ASTC,2026-03-30,1.9620253164556962,2.0,0.01898734177215189,False,False
LVTX,2022-09-26,1.975,2.0,0.012499999999999956,False,False
ZCAR,2024-12-16,0.33783783783783783,0.3333333333333333,0.013513513513513598,False,False
ZCAR,2024-12-26,1.979020979020979,2.0,0.010489510489510523,False,False
MGN,2026-03-26,0.06606132075471693,0.06666666666666667,0.009080188679245982,False,False
TGL,2023-11-29,0.5063106825110024,0.5,0.012621365022004838,False,False
XELA,2023-05-16,2.038961038961039,2.0,0.01948051948051943,False,False
XELA,2025-05-21,0.08285714188400561,0.08333333333333333,0.005714297391932632,False,False
XELA,2025-06-03,0.25,0.25,0.0,False,False
XELA,2025-07-15,0.10000000698491962,0.1,6.984919620478536e-08,False,False
XELA,2025-07-16,8.0,8.0,0.0,False,False
XELA,2025-07-21,2.0000000000000093,2.0,4.6629367034256575e-15,False,False
XELA,2025-07-22,0.09090909571964134,0.09090909090909091,5.291605464918803e-08,False,False
XELA,2025-09-15,0.10000000698491962,0.1,6.984919620478536e-08,False,False
XELA,2025-10-20,0.24444443340654676,0.25,0.02222226637381297,False,False
XELA,2025-11-05,0.04878048877442853,0.05,0.02439022451142936,False,False
XELA,2025-11-20,0.05555556058584743,0.05555555555555555,9.054525373919375e-08,False,False
XELA,2025-11-21,16.0,16.0,0.0,False,False
XELA,2025-11-26,2.0,2.0,0.0,False,False
XELA,2025-12-10,0.07500000232830573,0.07692307692307693,0.024999969732025562,False,False
XELA,2025-12-11,11.999999379118405,12.0,5.174013295583535e-08,False,False
XELA,2025-12-19,0.07317073032224419,0.07142857142857142,0.0243902245114187,False,False
XELA,2025-12-22,9.999999689559237,10.0,3.104407630960537e-08,False,False
XELA,2025-12-26,2.0000000000001004,2.0,5.0182080713057076e-14,False,False
XELA,2025-12-29,20.499999592546395,20.0,0.0249999796273197,False,False
XELA,2025-12-31,0.16666666666666585,0.16666666666666666,4.884981308350689e-15,False,False
XELA,2026-01-09,20.499999592546395,20.0,0.0249999796273197,False,False
XELA,2026-01-12,0.24390242683575314,0.25,0.024390292656987445,False,False
XELA,2026-01-13,7.100000391155544,7.0,0.014285770165077816,False,False
XELA,2026-01-16,0.07042253133152554,0.07142857142857142,0.014084561358642445,False,False
XELA,2026-01-20,14.20000078231123,14.0,0.014285770165087808,False,False
XELA,2026-04-13,10.999999417923929,11.0,5.291600646550876e-08,False,False
XELA,2026-04-15,8.0,8.0,0.0,False,False
XELA,2026-04-23,0.125,0.125,0.0,False,False
XELA,2026-04-24,8.0,8.0,0.0,False,False
XELA,2026-05-04,8.0,8.0,0.0,False,False
XELA,2026-05-05,0.125,0.125,0.0,False,False
XELA,2026-05-08,2.0,2.0,0.0,False,False
XELA,2026-05-11,4.0,4.0,0.0,False,False
XELA,2026-05-12,0.25,0.25,0.0,False,False
XELA,2026-05-14,0.5,0.5,0.0,False,False
XELA,2026-05-18,8.0,8.0,0.0,False,False
XELA,2026-05-20,0.05882352900894361,0.058823529411764705,6.847958644584651e-09,False,False
XELA,2026-07-17,2.0,2.0,0.0,False,False
DCX,2025-09-02,0.33522726008358095,0.3333333333333333,0.0056817802507429516,False,False
RNAZ,2024-01-18,0.5046296129318986,0.5,0.009259225863797127,False,False
VBIO,2025-02-12,2.9787494993992794,3.0,0.007083500200240178,False,False
VBIO,2025-04-22,2.037142857142857,2.0,0.01857142857142846,False,False
VRAX,2026-07-09,2.0,2.0,0.0,False,False
PHOE,2026-01-30,10.97444352844188,11.0,0.00232331559619281,False,False
CPIX,2024-12-10,1.967741935483871,2.0,0.016129032258064502,False,False
ADTX,2026-05-26,0.49514563556260893,0.5,0.009708728874782135,False,False
ADTX,2026-06-25,0.20000001396983902,0.2,6.984919509456233e-08,False,False
ADTX,2026-06-30,2.999999883584683,3.0,3.880510568432527e-08,False,False
ADN,2025-10-29,0.338929889298893,0.3333333333333333,0.016789667896679017,False,False
OP,2022-03-07,2.0159060211843323,2.0,0.007953010592166132,False,False
ICLK,2024-04-26,0.49011857707509887,0.5,0.019762845849802257,False,False
PEV,2025-02-13,1.9754065846886157,2.0,0.01229670765569213,False,False
ITCI,2019-12-23,2.934887459807074,3.0,0.02170418006430863,False,False
NAYA,2021-03-09,3.022508038585209,3.0,0.007502679528403,False,False
NAYA,2023-10-23,3.925925925925926,4.0,0.01851851851851849,False,False
NAYA,2026-06-26,1.9758064516128255,2.0,0.012096774193587234,False,False
WNW,2025-04-22,1.9758064516129032,2.0,0.012096774193548376,False,False
WNW,2026-03-17,0.20032558139534884,0.2,0.0016279069767441978,False,False
WNW,2026-05-19,1.970954356846473,2.0,0.014522821576763545,False,False
APEI,2023-03-15,0.4924406047516199,0.5,0.015118790496760237,False,False
YYAI,2024-01-31,2.0120724346076457,2.0,0.006036217303822866,False,False
YYAI,2025-02-24,1.9840649898453366,2.0,0.007967505077331682,False,False
YYAI,2025-10-07,0.07171314741035861,0.07142857142857142,0.003984063745020583,False,False
YYAI,2025-10-23,0.49391856160761505,0.5,0.012162876784769905,False,False
ALMS,2026-01-06,1.9530685920577617,2.0,0.023465703971119134,False,False
BNKK,2025-08-11,0.4896496416219738,0.5,0.02070071675605245,False,False
TIVC,2025-02-12,2.978723404255319,3.0,0.007092198581560294,False,False
TIVC,2025-04-22,2.037142857142857,2.0,0.01857142857142846,False,False
CORT,2025-12-31,0.49576180639646705,0.5,0.008476387207065894,False,False
ORGS,2024-10-21,0.07251184698529711,0.07142857142857142,0.015165857794159576,False,False
ORGS,2025-02-26,2.0105263058828844,2.0,0.005263152941442195,False,False
ORGS,2025-08-11,13.114754146416088,13.0,0.008827242032006799,False,False
ORGS,2025-08-21,7.15051813098851,7.0,0.021502590141215583,False,False
ORGS,2025-08-22,0.10000000149011601,0.1,1.4901160083624632e-08,False,False
ORGS,2025-09-10,0.10000000149011601,0.1,1.4901160083624632e-08,False,False
ORGS,2025-09-18,0.05999999719507476,0.058823529411764705,0.019999952316271052,False,False
ORGS,2025-09-24,4.878048823037241,5.0,0.024390235392551807,False,False
ORGS,2025-09-25,0.05110000073909704,0.05,0.022000014781940802,False,False
ORGS,2025-09-30,0.109999999403953,0.1111111111111111,0.010000005364423026,False,False
ORGS,2025-10-06,1.9569471632826265,2.0,0.02152641835868674,False,False
ORGS,2025-10-13,1.9607843503911735,2.0,0.019607824804413254,False,False
ORGS,2025-11-12,4.999375082538469,5.0,0.00012498349230616324,False,False
ORGS,2025-12-05,0.33333333333333337,0.3333333333333333,2.220446049250313e-16,False,False
ORGS,2025-12-19,2.9999999999999996,3.0,1.1102230246251565e-16,False,False
ORGS,2026-01-28,4.000000000000007,4.0,1.7763568394002505e-15,False,False
ORGS,2026-02-10,0.24999999999999956,0.25,1.7763568394002505e-15,False,False
ORGS,2026-03-03,2.0000000000000036,2.0,1.7763568394002505e-15,False,False
ORGS,2026-03-24,2.0,2.0,0.0,False,False
ORGS,2026-07-14,19.999998603025066,20.0,6.984874667548269e-08,False,False
ORGS,2026-07-16,0.05263158313958738,0.05263157894736842,7.965216020089372e-08,False,False
PGHL,2024-11-26,10.185958254269451,10.0,0.018595825426945156,False,False
PGHL,2025-05-14,1.9564446196294838,2.0,0.021777690185258103,False,False
IPW,2024-05-17,1.9794523948806484,2.0,0.010273802559675804,False,False
IMNN,2025-05-27,1.9568927341586415,2.0,0.021553632920679244,False,False
PEGA,2025-06-23,0.5034774720290294,0.5,0.006954944058058743,False,False
SABS,2023-04-13,1.997105263157895,2.0,0.0014473684210525306,False,False
SAVA,2018-01-09,2.031460674157303,2.0,0.015730337078651457,False,False
SAVA,2018-10-03,3.005492797181055,3.0,0.0018309323936851474,False,False
MGRX,2024-05-21,2.0367608306103087,2.0,0.01838041530515433,False,False
MGRX,2026-03-23,1.998148148148148,2.0,0.0009259259259259967,False,False
ZCMD,2026-07-06,2.018018018018018,2.0,0.009009009009008917,False,False
REPL,2025-07-30,2.013333333333333,2.0,0.006666666666666599,False,False
REPL,2025-10-20,1.9877777777777779,2.0,0.006111111111111067,False,False
OCGN,2021-02-08,3.0114285714285716,3.0,0.003809523809523929,False,False
MIRA,2024-07-23,0.5109780439121757,0.5,0.021956087824351433,False,False
STAF,2018-07-09,4.014659002485002,4.0,0.003664750621250601,False,False
CLMB,2025-06-24,0.24900596421471177,0.25,0.00397614314115291,False,False
