effective_start,training_end,config_id,rolling_months,rolling_quality,expanding_quality,rolling_worst_annual_excess,rolling_rank,expanding_rank,combined_rank,candidate_group,variant_selected,variant_rolling_rank,variant_expanding_rank,variant_combined_rank,selection_reason,selected
2023-01-01,2022-12-31,1,36,-0.0058053233161077245,-0.0058053233161077245,0.14588763378203007,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,0,36,-0.01723515352736503,-0.01723515352736503,-0.02947018069453944,2.0,2.0,4.0,top3-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,5,36,-0.020614168125209418,-0.020614168125209418,-0.1502352312533708,3.0,3.0,6.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,3,36,-0.02066685632602363,-0.02066685632602363,-0.08877373511065878,4.0,4.0,8.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,True
2023-01-01,2022-12-31,2,36,-0.02216869353879937,-0.02216869353879937,-0.10267098735566682,5.0,5.0,10.0,top5-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,4,36,-0.023195053174619517,-0.023195053174619517,-0.23444500639495036,6.0,6.0,12.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,1,36,-0.01156566908074918,-0.00984117147007926,-0.04673117330511989,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,5,36,-0.018863896915911355,-0.02535098588874785,-0.2863878550152632,2.0,3.0,5.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,3,36,-0.024948703200613362,-0.02503730403764605,-0.2473222339281329,4.0,2.0,6.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,True
2024-01-01,2023-12-31,2,36,-0.027704146279486707,-0.026543811338170173,-0.18925532232757258,5.0,4.0,9.0,top5-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,4,36,-0.020909662790605035,-0.028801223003943974,-0.3070391090614084,3.0,6.0,9.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2024-01-01,2023-12-31,0,36,-0.03099330415901145,-0.026588090585880367,-0.32415045052693947,6.0,5.0,11.0,top3-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2025-01-01,2024-12-31,1,36,0.018709649392876795,0.010008308242768056,-0.04673117330511989,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2025-01-01,2024-12-31,0,36,0.004049774680288432,-0.00516137218752841,-0.32415045052693947,2.0,2.0,4.0,top3-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2025-01-01,2024-12-31,3,36,-0.0032431381021974758,-0.012215021796249665,-0.2473222339281329,3.0,3.0,6.0,top5-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2025-01-01,2024-12-31,2,36,-0.009270435694948103,-0.016343026331840853,-0.18925532232757258,4.0,4.0,8.0,top5-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,4,36,-0.012309665521248982,-0.020106065956135975,-0.3070391090614084,5.0,5.0,10.0,top10-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2025-01-01,2024-12-31,5,36,-0.01674793927577184,-0.02075609019793907,-0.2863878550152632,6.0,6.0,12.0,top10-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,1,36,0.015525327407210385,0.004851291911102135,-0.04673117330511989,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2026-01-01,2025-12-31,3,36,0.0011117448369126655,-0.010021666500311855,-0.2473222339281329,2.0,2.0,4.0,top5-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2026-01-01,2025-12-31,0,36,-0.006790719195048565,-0.012048437933550381,-0.32415045052693947,3.0,3.0,6.0,top3-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,True
2026-01-01,2025-12-31,2,36,-0.009110124619996551,-0.015694506485376507,-0.18925532232757258,4.0,4.0,8.0,top5-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,4,36,-0.016449992663475,-0.02001942109818337,-0.3070391090614084,5.0,6.0,11.0,top10-liq2000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
2026-01-01,2025-12-31,5,36,-0.017122244748670763,-0.01904738983317494,-0.2863878550152632,6.0,5.0,11.0,top10-liq10000000,True,1.0,1.0,2.0,adaptive_stability_rank,False
