series,peak_date,underwater_start,trough_date,maximum_drawdown,underwater_sessions,underwater_end,recovery_date,recovered,peak_to_recovery_sessions,peak_to_recovery_calendar_days
nasdaq,2022-01-03,2022-01-04,2022-12-28,-0.35492844764754594,527,2024-02-08,2024-02-09,True,528,767
nasdaq,2024-02-09,2024-02-12,2024-02-21,-0.0256271407764731,7,2024-02-21,2024-02-22,True,8,13
nasdaq,2024-02-22,2024-02-23,2024-02-28,-0.00585245090971509,4,2024-02-28,2024-02-29,True,5,7
nasdaq,2024-03-01,2024-03-04,2024-03-05,-0.020605511980522295,12,2024-03-19,2024-03-20,True,13,19
nasdaq,2024-03-22,2024-03-25,2024-04-04,-0.023114042090817244,12,2024-04-10,2024-04-11,True,13,20
nasdaq,2024-04-11,2024-04-12,2024-04-19,-0.07056158485581476,22,2024-05-13,2024-05-14,True,23,33
nasdaq,2024-05-15,2024-05-16,2024-05-17,-0.003370116093217801,2,2024-05-17,2024-05-20,True,3,5
nasdaq,2024-05-21,2024-05-22,2024-05-23,-0.005738368198661803,2,2024-05-23,2024-05-24,True,3,3
nasdaq,2024-05-28,2024-05-29,2024-05-31,-0.016737208778000223,5,2024-06-04,2024-06-05,True,6,8
nasdaq,2024-06-05,2024-06-06,2024-06-07,-0.003187084303232668,2,2024-06-07,2024-06-10,True,3,5
nasdaq,2024-06-18,2024-06-20,2024-06-24,-0.020457465327794133,7,2024-06-28,2024-07-01,True,8,13
nasdaq,2024-07-10,2024-07-11,2024-08-07,-0.13147330894990594,77,2024-10-28,2024-10-29,True,78,111
nasdaq,2024-10-29,2024-10-30,2024-10-31,-0.03300411035300632,5,2024-11-05,2024-11-06,True,6,8
nasdaq,2024-11-11,2024-11-12,2024-11-15,-0.032056074141163404,13,2024-11-29,2024-12-02,True,14,21
nasdaq,2024-12-04,2024-12-05,2024-12-05,-0.0017662628085395315,1,2024-12-05,2024-12-06,True,2,2
nasdaq,2024-12-06,2024-12-09,2024-12-10,-0.008687470724111801,2,2024-12-10,2024-12-11,True,3,5
nasdaq,2024-12-11,2024-12-12,2024-12-12,-0.006591135281496019,2,2024-12-13,2024-12-16,True,3,5
nasdaq,2024-12-16,2024-12-17,2025-04-08,-0.24318450006861703,130,2025-06-26,2025-06-27,True,131,193
nasdaq,2025-06-30,2025-07-01,2025-07-01,-0.008190584754927954,1,2025-07-01,2025-07-02,True,2,2
nasdaq,2025-07-03,2025-07-07,2025-07-07,-0.00915388013261409,2,2025-07-08,2025-07-09,True,3,6
nasdaq,2025-07-10,2025-07-11,2025-07-11,-0.0021875209033546117,1,2025-07-11,2025-07-14,True,2,4
nasdaq,2025-07-21,2025-07-22,2025-07-22,-0.0038852550541926822,1,2025-07-22,2025-07-23,True,2,2
nasdaq,2025-07-28,2025-07-29,2025-08-01,-0.024952097827143915,7,2025-08-06,2025-08-07,True,8,10
nasdaq,2025-08-08,2025-08-11,2025-08-11,-0.0030125846036507253,1,2025-08-11,2025-08-12,True,2,4
nasdaq,2025-08-13,2025-08-14,2025-08-21,-0.02822392339385238,16,2025-09-05,2025-09-08,True,17,26
nasdaq,2025-09-15,2025-09-16,2025-09-17,-0.0039116281671233155,2,2025-09-17,2025-09-18,True,3,3
nasdaq,2025-09-22,2025-09-23,2025-09-25,-0.01774015335482293,7,2025-10-01,2025-10-02,True,8,10
nasdaq,2025-10-02,2025-10-03,2025-10-03,-0.002781468259787756,1,2025-10-03,2025-10-06,True,2,4
nasdaq,2025-10-06,2025-10-07,2025-10-07,-0.006682599828172764,1,2025-10-07,2025-10-08,True,2,2
nasdaq,2025-10-08,2025-10-09,2025-10-10,-0.03640741939767511,11,2025-10-23,2025-10-24,True,12,16
nasdaq,2025-10-29,2025-10-30,2026-03-30,-0.13205475975719405,113,2026-04-14,2026-04-15,True,114,168
nasdaq,2026-04-17,2026-04-20,2026-04-21,-0.008521984201715571,2,2026-04-21,2026-04-22,True,3,5
nasdaq,2026-04-22,2026-04-23,2026-04-23,-0.008884492673041255,1,2026-04-23,2026-04-24,True,2,2
nasdaq,2026-04-27,2026-04-28,2026-04-28,-0.008972519899867804,2,2026-04-29,2026-04-30,True,3,3
nasdaq,2026-05-01,2026-05-04,2026-05-04,-0.0018570989438745356,1,2026-05-04,2026-05-05,True,2,4
nasdaq,2026-05-06,2026-05-07,2026-05-07,-0.0012670798415104212,1,2026-05-07,2026-05-08,True,2,2
nasdaq,2026-05-11,2026-05-12,2026-05-12,-0.007076542591514912,1,2026-05-12,2026-05-13,True,2,2
nasdaq,2026-05-14,2026-05-15,2026-05-19,-0.028702972980887642,6,2026-05-22,2026-05-26,True,7,12
nasdaq,2026-06-02,2026-06-03,2026-06-10,-0.07102705775100693,33,2026-07-17,,False,33,45
