effective_start,training_end,config_id,rolling_months,rolling_quality,expanding_quality,rolling_worst_annual_excess,rolling_rank,expanding_rank,combined_rank,candidate_group,variant_selected,variant_rolling_rank,variant_expanding_rank,variant_combined_rank,selection_reason,selected
2022-01-01,2021-12-31,3,36,-0.033178320624666975,-0.033178320624666975,-0.5848863954711772,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,4,36,-0.033178320624666975,-0.033178320624666975,-0.5848863954711772,1.0,1.0,2.0,top3-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,5,36,-0.033178320624666975,-0.033178320624666975,-0.5848863954711772,1.0,1.0,2.0,top3-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,16,36,-0.038098352428971624,-0.038098352428971624,-0.45631436693416616,2.0,2.0,4.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,1,36,-0.03983930932778044,-0.03983930932778044,-0.5202717461837622,3.0,3.0,6.0,top3-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,17,36,-0.038098352428971624,-0.038098352428971624,-0.45631436693416616,4.0,4.0,8.0,top10-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,12,36,-0.0400183003232529,-0.0400183003232529,-0.42741670990420355,4.0,4.0,8.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,6,36,-0.043982975361452945,-0.043982975361452945,-0.5298472261800897,5.0,5.0,10.0,top5-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,2,36,-0.03983930932778044,-0.03983930932778044,-0.5202717461837622,6.0,6.0,12.0,top3-liq2000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,9,36,-0.04761038903677765,-0.04761038903677765,-0.6422224316738648,6.0,6.0,12.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,14,36,-0.040488781121551964,-0.040488781121551964,-0.43056057711213824,9.0,9.0,18.0,top10-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,13,36,-0.040488781121551964,-0.040488781121551964,-0.43056057711213824,9.0,9.0,18.0,top10-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,15,36,-0.04095147725857977,-0.04095147725857977,-0.4489935150125518,11.0,11.0,22.0,top10-liq10000000,False,3.0,3.0,6.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,0,36,-0.04287024280140491,-0.04287024280140491,-0.5689938427159047,12.0,12.0,24.0,top3-liq2000000,False,3.0,3.0,6.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,7,36,-0.043982975361452945,-0.043982975361452945,-0.5298472261800897,13.0,13.0,26.0,top5-liq2000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,8,36,-0.043982975361452945,-0.043982975361452945,-0.5298472261800897,13.0,13.0,26.0,top5-liq2000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,10,36,-0.047909607674064686,-0.047909607674064686,-0.6422224316738648,17.0,17.0,34.0,top5-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
2022-01-01,2021-12-31,11,36,-0.047909607674064686,-0.047909607674064686,-0.6422224316738648,17.0,17.0,34.0,top5-liq10000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,True
2023-01-01,2022-12-31,3,36,-0.005778520877018436,-0.027898949014640732,0.14588763378202996,1.0,1.0,2.0,top3-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,4,36,-0.005778520877018436,-0.027898949014640732,0.14588763378202996,1.0,1.0,2.0,top3-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,5,36,-0.005778520877018436,-0.027898949014640732,0.14588763378202996,1.0,1.0,2.0,top3-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,1,36,-0.01749643236990729,-0.033440220852371576,-0.029470180694540993,2.0,4.0,6.0,top3-liq2000000,True,2.0,1.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,16,36,-0.02031454970191892,-0.030726577997812678,-0.14052440996994298,4.0,2.0,6.0,top10-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,12,36,-0.022600962934638584,-0.031685025405739205,-0.221542769849006,6.0,3.0,9.0,top10-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,9,36,-0.020237459212303927,-0.038599654708725895,-0.08877373511065811,3.0,6.0,9.0,top5-liq10000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,6,36,-0.022115931260987886,-0.036248722770456404,-0.10267098735566482,5.0,5.0,10.0,top5-liq2000000,True,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,17,36,-0.02031454970191892,-0.030726577997812678,-0.14052440996994298,8.0,4.0,12.0,top10-liq10000000,False,1.0,1.0,2.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,2,36,-0.01749643236990729,-0.033440220852371576,-0.029470180694540993,5.0,10.0,15.0,top3-liq2000000,False,2.0,1.0,3.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,0,36,-0.01749643236990725,-0.03577901992748037,-0.02947018069454188,4.0,12.0,16.0,top3-liq2000000,False,1.0,3.0,4.0,no_positive_rolling_evidence,False
2023-01-01,2022-12-31,13,36,-0.022943492619259754,-0.03203894685683745,-0.22416778181344155,16.0,7.0,23.0,top10-liq2000000,False,2.0,2.0,4.0,no_positive_rolling_evidence,False
