cost_bps,year,period,challenger,fixed_top3,nasdaq,challenger_excess,fixed_top3_excess,challenger_minus_fixed
10.0,2023,full_year,0.18690880574102953,0.38749986636404254,0.43423103966916465,-0.24732223392813513,-0.04673117330512211,-0.20059106062301302
10.0,2024,full_year,1.3441227546344736,2.8656222957236306,0.28641246683135235,1.0577102878031213,2.579209828892278,-1.521499541089157
10.0,2025,full_year,0.16924038605922842,0.2284742396952737,0.20357524453555675,-0.034334858476328334,0.02489899515971694,-0.059233853636045275
10.0,2026,partial_through_2026-07-17,0.3260526705581097,0.36067993257808006,0.09802301782248235,0.22802965273562736,0.2626569147555977,-0.03462726201997035
30.0,2023,full_year,0.15527017246300923,0.3463481620171942,0.43423103966916465,-0.2789608672061554,-0.08788287765197045,-0.19107798955418498
30.0,2024,full_year,1.2787081817293129,2.757608863995093,0.28641246683135235,0.9922957148979605,2.471196397163741,-1.4789006822657802
30.0,2025,full_year,0.1320652332000951,0.18959325494318358,0.20357524453555675,-0.07151001133546164,-0.013981989592373179,-0.057528021743088464
30.0,2026,partial_through_2026-07-17,0.2988733221338331,0.3319499461496058,0.09802301782248235,0.20085030431135076,0.23392692832712347,-0.033076624015772715
50.0,2023,full_year,0.12445697742458006,0.30640769286277103,0.43423103966916465,-0.3097740622445846,-0.12782334680639362,-0.18195071543819097
50.0,2024,full_year,1.2150725458689906,2.6525328592708295,0.28641246683135235,0.9286600790376383,2.366120392439477,-1.4374603134018389
50.0,2025,full_year,0.09606736178255892,0.15192988267784657,0.20357524453555675,-0.10750788275299783,-0.05164536185771018,-0.05586252089528765
50.0,2026,partial_through_2026-07-17,0.27224085287720756,0.3038169899567573,0.09802301782248235,0.1742178350547252,0.20579397213427497,-0.03157613707954976
