config_id,cost_bps,year,strategy,nasdaq,excess_vs_nasdaq
0,10.0,2022,-0.21081041989644878,-0.3310002555645566,0.12018983566810781
0,10.0,2023,0.08071449227211547,0.43423103966916465,-0.3535165473970492
0,10.0,2024,2.607566746094113,0.28641246683135235,2.3211542792627604
0,10.0,2025,-0.12890062964912063,0.20357524453555675,-0.3324758741846774
0,10.0,2026,0.23203257506267483,0.09802301782248235,0.13400955724019248
0,30.0,2022,-0.21553453861299576,-0.3310002555645566,0.11546571695156083
0,30.0,2023,0.04451333994454609,0.43423103966916465,-0.38971769972461856
0,30.0,2024,2.511311281619455,0.28641246683135235,2.2248988147881024
0,30.0,2025,-0.1574955868595631,0.20357524453555675,-0.36107083139511986
0,30.0,2026,0.20601890475453377,0.09802301782248235,0.10799588693205142
0,50.0,2022,-0.2202335538831076,-0.3310002555645566,0.11076670168144898
0,50.0,2023,0.009521183798466337,0.43423103966916465,-0.4247098558706983
0,50.0,2024,2.4175606006296433,0.28641246683135235,2.131148133798291
0,50.0,2025,-0.18515802771265077,0.20357524453555675,-0.38873327224820753
0,50.0,2026,0.18054581763644073,0.09802301782248235,0.08252279981395838
1,10.0,2022,-0.2108104198964489,-0.3310002555645566,0.1201898356681077
1,10.0,2023,0.08071449227211591,0.43423103966916465,-0.35351654739704874
1,10.0,2024,2.6075667460941077,0.28641246683135235,2.321154279262755
1,10.0,2025,-0.1289006296491172,0.20357524453555675,-0.33247587418467395
1,10.0,2026,0.23203257506267105,0.09802301782248235,0.1340095572401887
1,30.0,2022,-0.21553453861299665,-0.3310002555645566,0.11546571695155994
1,30.0,2023,0.04451333994454654,0.43423103966916465,-0.3897176997246181
1,30.0,2024,2.5113112816194567,0.28641246683135235,2.224898814788104
1,30.0,2025,-0.15749558685956344,0.20357524453555675,-0.3610708313951202
1,30.0,2026,0.20601890475453355,0.09802301782248235,0.1079958869320512
1,50.0,2022,-0.2202335538831075,-0.3310002555645566,0.11076670168144909
1,50.0,2023,0.009521183798467003,0.43423103966916465,-0.42470985587069765
1,50.0,2024,2.4175606006296384,0.28641246683135235,2.131148133798286
1,50.0,2025,-0.18515802771264955,0.20357524453555675,-0.3887332722482063
1,50.0,2026,0.18054581763644073,0.09802301782248235,0.08252279981395838
2,10.0,2022,-0.2108104198964489,-0.3310002555645566,0.1201898356681077
