ticker,cik,diagnostic_status,eligible_for_parser_research,selected_currency,paired_quarter_count,longest_continuous_paired_quarters,timely_paired_quarter_count,longest_continuous_timely_paired_quarters,maximum_availability_lag_days,first_paired_quarter,last_paired_quarter,revenue_quarter_candidates,net_income_quarter_candidates,revenue_explicit_count,revenue_derived_ytd_count,revenue_derived_q4_count,net_income_explicit_count,net_income_derived_ytd_count,net_income_derived_q4_count,candidate_revenue_currencies,candidate_net_income_currencies,revenue_concept_switch_count,net_income_concept_switch_count,unverified_concept_transition_count,maximum_revenue_overlap_relative_difference,maximum_net_income_overlap_relative_difference
CHKP,1015922,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
CIGI,913353,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
CYBR,1598110,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
DLO,1846832,NO_NET_INCOME_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,2,0,2,0,0,0,0,0,USD,,0,0,0,,
DOO,1748797,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
DRUG,1827401,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,1,0,0,0,1,0,0,,CAD,0,0,0,,
FER,1468522,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
FSV,1637810,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
GDS,1526125,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
GGAL,1114700,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,4,0,0,0,4,0,0,,ARS,0,0,0,,
GLBE,1835963,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
HTHT,1483994,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
INMD,1742692,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
KSPI,1985487,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
MEOH,886977,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
MMYT,1495153,NO_NET_INCOME_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,24,0,24,0,0,0,0,0,USD,,0,0,0,,
MNDY,1845338,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
NVMI,1109345,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
PDD,1737806,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
SBLK,1386716,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
SNY,1121404,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
SRAD,1836470,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
STNE,1745431,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
TCOM,1269238,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
TIGO,912958,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
WIX,1576789,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
XP,1787425,NO_REVENUE_QUARTER_CANDIDATES,False,,0,0,0,0,150,,,0,0,0,0,0,0,0,0,,,0,0,0,,
