candidate,eligible,required_wins,wins_vs_nasdaq_50bps,worst_annual_excess_vs_nasdaq_50bps,compounded_excess_vs_nasdaq_30bps,compounded_excess_vs_nasdaq_50bps,drawdown_lag_vs_qqq_50bps,turnover_50bps,rank
mom63_marketma200_liquid25_top5_profitable_monthly,False,7,6,-0.40369605088875427,2.6465073829170818,1.7928522969880696,0.0,74.47493204596971,1
mom63_marketma0_liquid25_top5_profitable_monthly,False,7,5,-0.2438942618472839,3.7331031330830786,2.4596378573805957,0.13199148543118333,96.42904463425319,2
mom63_marketma150_liquid25_top5_profitable_monthly,False,7,5,-0.3003931282678538,2.660960999076752,1.8048508816040219,0.0,74.51827846667527,3
mom63_marketma0_liquid25_top10_profitable_monthly,False,7,4,-0.1480719249893092,0.6628607401040494,-0.01944597934851,0.06973033994709066,89.14410117984538,4
mom42_marketma0_liquid25_top10_profitable_monthly,False,7,4,-0.3089203639869229,-0.03812260541586543,-0.7020747827056684,0.09557250768109404,105.95644859307924,5
mom42_marketma0_liquid25_top5_profitable_monthly,False,7,4,-0.31329636097573643,-0.26993161777620855,-0.9569283195533078,0.1388184022819805,118.95271164154417,6
mom63_marketma100_liquid25_top5_profitable_monthly,False,7,4,-0.40369605088875427,2.3184191601995403,1.5393447873943948,0.0,71.60436335516312,7
mom42_marketma200_liquid25_top10_profitable_monthly,False,7,4,-0.4161680730587417,-0.6844602258287016,-1.119393049439866,0.0,83.50003882492948,8
mom42_marketma150_liquid25_top10_profitable_monthly,False,7,4,-0.41706838773392585,-0.6290964471904692,-1.0698538082390225,0.0,82.9472190162944,9
mom63_marketma50_liquid25_top5_profitable_monthly,False,7,4,-0.46805745387812625,-0.0667430467949397,-0.54576589430174,0.07981070029088166,74.83248602990807,10
mom63_marketma100_liquid25_top10_profitable_monthly,False,7,3,-0.30768830180398665,-0.06303899930736989,-0.503197180287748,0.01399673409918989,68.25894533489335,11
mom63_marketma200_liquid25_top10_profitable_monthly,False,7,3,-0.30768830180398665,-0.2785259416821497,-0.706025804680825,0.0,70.9021053059393,12
mom63_marketma150_liquid25_top10_profitable_monthly,False,7,3,-0.313153936393453,-0.29567139517595553,-0.7166909461161368,0.0,70.15153622074686,13
mom21_marketma0_liquid25_top10_profitable_monthly,False,7,3,-0.3389653744921888,-0.7027031430314468,-1.3704692125655376,0.12927074240272618,135.59343514364457,14
mom63_marketma50_liquid25_top10_profitable_monthly,False,7,3,-0.34820885842356253,-1.3228266491459673,-1.6128342858659166,0.1024070561463275,71.17434199077526,15
mom42_marketma100_liquid25_top10_profitable_monthly,False,7,3,-0.4161680730587417,-0.7736791295332837,-1.1750804347130823,0.03755666170524474,79.26402321821573,16
mom42_marketma150_liquid25_top5_profitable_monthly,False,7,3,-0.43234225624566636,-0.4584057589445001,-0.9667609188527182,0.07938424146386658,90.99594189534062,17
mom21_marketma100_liquid25_top10_profitable_monthly,False,7,3,-0.4412006624817929,-0.6674675057019681,-1.1802930750830445,0.0,99.3329938374205,18
mom21_marketma50_liquid25_top10_profitable_monthly,False,7,3,-0.4494478230505815,-1.4486002563616904,-1.8113343707276395,0.05350621955848711,96.76173500023822,19
mom21_marketma100_liquid25_top5_profitable_monthly,False,7,3,-0.45534840594020654,-1.0823354378222256,-1.5428343475310842,0.004772146130460064,105.05401330941683,20
mom42_marketma50_liquid25_top5_profitable_monthly,False,7,3,-0.4906051676281955,-1.6164609714513551,-1.9095949039920217,0.16198016254318726,84.15444406057556,21
mom42_marketma200_liquid25_top5_profitable_monthly,False,7,3,-0.5056026270005426,-0.6170230306050786,-1.1043741750472642,0.07938424146386547,92.12707912550702,22
mom42_marketma100_liquid25_top5_profitable_monthly,False,7,3,-0.5056026270005426,-0.6830308832786818,-1.1307487188738912,0.0667362855677559,86.12524083517123,23
mom21_marketma50_liquid25_top5_profitable_monthly,False,7,3,-0.5255320234090843,-1.7978336255051668,-2.1088983142740507,0.14496146422758238,100.31095471287469,24
mom21_marketma0_liquid25_top5_profitable_monthly,False,7,2,-0.38877265313120013,-1.2051080194605497,-1.7854217912439867,0.2031229768552989,144.8646617509644,25
mom21_marketma150_liquid25_top10_profitable_monthly,False,7,2,-0.40324157393224913,-0.8264596592230915,-1.3384805589635413,0.003183115382974444,105.70578234575387,26
mom21_marketma150_liquid25_top5_profitable_monthly,False,7,2,-0.41857070930192264,-1.2251146358025884,-1.684836555066854,0.027209388779649513,112.20961615262848,27
mom42_marketma50_liquid25_top10_profitable_monthly,False,7,2,-0.42361470611645025,-1.8459641746752657,-2.090639773556382,0.17016989044207687,79.6304591148814,28
mom21_marketma200_liquid25_top10_profitable_monthly,False,7,2,-0.4412006624817929,-0.8018741958061133,-1.3168617368104445,0.02900575692661589,105.31094695143929,29
mom21_marketma200_liquid25_top5_profitable_monthly,False,7,2,-0.45534840594020654,-1.2706603366570413,-1.7211893921190682,0.0516927263571606,112.20961615262848,30
