date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash
2020-01-02,-0.00497512437810943,0.013328444969281872,1.0000000000000002,0.9950248756218907,0.0049751243781094535,5,0,0,0,0.9950248756218906,-1.3444106938820255e-16
2020-01-03,-0.017760784442908073,-0.007855191857838673,1.0000000000000002,0.0,0.0,5,0,0,0,0.9773524532906388,-1.3444106938820255e-16
2020-01-06,-0.0003108772519689884,0.005619309971283348,1.0000000000000002,0.0,0.0,5,0,0,0,0.9770486166457547,-1.3444106938820255e-16
2020-01-07,-0.0006841612662986662,-0.00031746819144873317,1.0000000000000002,0.0,0.0,5,0,0,0,0.976380157826955,-1.3444106938820255e-16
2020-01-08,0.011502430396947094,0.006689040547814162,1.0000000000000002,0.0,0.0,5,0,0,0,0.9876109026333197,-1.3444106938820255e-16
2020-01-09,0.011251528656261334,0.008126579909684128,1.0000000000000002,0.0,0.0,5,0,0,0,0.9987230350055346,-1.3444106938820255e-16
2020-01-10,-0.0033846321542555513,-0.0026695808846131097,1.0000000000000002,0.0,0.0,5,0,0,0,0.9953427249080592,-1.3444106938820255e-16
2020-01-13,0.015665189181872208,0.010357418661689266,1.0000000000000002,0.0,0.0,5,0,0,0,1.010934956994544,-1.3444106938820255e-16
2020-01-14,-0.006437917056685394,-0.002436895763831548,1.0000000000000002,0.0,0.0,5,0,0,0,1.0044266415917094,-1.3444106938820255e-16
2020-01-15,-0.017004062612229087,0.0007966530131704452,1.0000000000000002,0.0,0.0,5,0,0,0,0.987347308088693,-1.3444106938820255e-16
2020-01-16,0.016668411397884775,0.010631049485758437,1.0000000000000002,0.0,0.0,5,0,0,0,1.0038048192125093,-1.3444106938820255e-16
2020-01-17,0.0052274574192898715,0.0033996001273852716,1.0000000000000002,0.0,0.0,5,0,0,0,1.0090521661622207,-1.3444106938820255e-16
2020-01-21,-0.01686043130977366,-0.001931080529598339,1.0000000000000002,0.0,0.0,5,0,0,0,0.9920391114266642,-1.3444106938820255e-16
2020-01-22,0.0077500304107331885,0.0013830075044956036,1.0000000000000002,0.0,0.0,5,0,0,0,0.9997274447088577,-1.3444106938820255e-16
2020-01-23,0.0032305025616903293,0.0019939748093769083,1.0000000000000002,0.0,0.0,5,0,0,0,1.0029570667799816,-1.3444106938820255e-16
2020-01-24,-0.03073089706137566,-0.00931353167922011,1.0000000000000002,0.0,0.0,5,0,0,0,0.9721352964037867,-1.3444106938820255e-16
2020-01-27,-0.02946954529489476,-0.018851561231368552,1.0000000000000002,0.0,0.0,5,0,0,0,0.9434869112536494,-1.3444106938820255e-16
2020-01-28,0.024800045198751786,0.014264764594472235,1.0000000000000002,0.0,0.0,5,0,0,0,0.9668854292971706,-1.3444106938820255e-16
2020-01-29,-0.024802847611277934,0.0005912286268099365,1.0000000000000002,0.0,0.0,5,0,0,0,0.9429039173367478,-1.3444106938820255e-16
2020-01-30,0.00038127825836742346,0.002562705062495896,1.0000000000000002,0.0,0.0,5,0,0,0,0.9432634261001579,-1.3444106938820255e-16
2020-01-31,-0.027114377707172288,-0.015914659511836238,1.0000000000000002,0.0,0.0,5,0,0,0,0.9176874252875168,-1.3444106938820255e-16
2020-02-03,0.0037609512167162684,0.013382231185769866,1.0000000000000002,1.1988011988011988,0.005554605846791258,5,0,0,0,0.9211388029262171,-1.3097162243624894e-16
2020-02-04,0.04161029212881706,0.020981440637460214,1.0000000000000002,0.0,0.0,5,0,0,0,0.9594676576071659,-1.3097162243624894e-16
2020-02-05,0.005453996548248297,0.004299760274898423,1.0000000000000002,0.0,0.0,5,0,0,0,0.9647005908999112,-1.3097162243624894e-16
2020-02-06,0.010063436169619466,0.0066750276592026925,1.0000000000000002,0.0,0.0,5,0,0,0,0.9744087937192267,-1.3097162243624894e-16
2020-02-07,-0.014350173282070555,-0.005394879712713352,1.0000000000000002,0.0,0.0,5,0,0,0,0.9604258586817824,-1.3097162243624894e-16
2020-02-10,0.015517494508320073,0.011331304968563938,1.0000000000000002,0.0,0.0,5,0,0,0,0.9753292616695256,-1.3097162243624894e-16
2020-02-11,0.015201419440356467,0.0010958011088375574,1.0000000000000002,0.0,0.0,5,0,0,0,0.9901556508686172,-1.3097162243624894e-16
2020-02-12,0.01753077306747608,0.009027921782771786,1.0000000000000002,0.0,0.0,5,0,0,0,1.0075138448854741,-1.3097162243624894e-16
2020-02-13,0.00023182175171587716,-0.001438449263620245,1.0000000000000002,0.0,0.0,5,0,0,0,1.0077474085098734,-1.3097162243624894e-16
2020-02-14,-0.002310293934658647,0.001977971574602444,1.0000000000000002,0.0,0.0,5,0,0,0,1.0054192157843251,-1.3097162243624894e-16
2020-02-18,-0.005173768341366514,0.0001603608244948873,1.0000000000000002,0.0,0.0,5,0,0,0,1.0002174096758987,-1.3097162243624894e-16
2020-02-19,0.10785894534230578,0.008675819786086558,1.0000000000000002,0.0,0.0,5,0,0,0,1.108099804596554,-1.3097162243624894e-16
2020-02-20,-0.007234650142931787,-0.006745287549335677,1.0000000000000002,0.0,0.0,5,0,0,0,1.1000830901868468,-1.3097162243624894e-16
2020-02-21,-0.02644230113079571,-0.017882362352014458,1.0000000000000002,0.0,0.0,5,0,0,0,1.07099436184723,-1.3097162243624894e-16
2020-02-24,-0.05291732434444929,-0.037101881506922174,1.0000000000000002,0.0,0.0,5,0,0,0,1.0143202058302836,-1.3097162243624894e-16
2020-02-25,-0.0421334776293919,-0.027726074002977774,1.0000000000000002,0.0,0.0,5,0,0,0,0.9715833681288931,-1.3097162243624894e-16
2020-02-26,0.01016153373570905,0.0016908051235420274,1.0000000000000002,0.0,0.0,5,0,0,0,0.9814561453011887,-1.3097162243624894e-16
2020-02-27,-0.048929649967113575,-0.04613067955925165,1.0000000000000002,0.0,0.0,5,0,0,0,0.933433839653529,-1.3097162243624894e-16
2020-02-28,0.027056812051377888,0.0001038466147211814,1.0000000000000002,0.0,0.0,5,0,0,0,0.9586895836154306,-1.3097162243624894e-16
2020-03-02,0.028710858184950228,0.044914576527982586,0.9999999999999986,1.2293326627874208,0.0060994188496967805,5,0,0,0,0.9862143842940022,1.4432899320127035e-15
2020-03-03,-0.016034612327025743,-0.029945823525981186,0.9999999999999986,0.0,0.0,5,0,0,0,0.9704008189705114,1.4432899320127035e-15
2020-03-04,0.048534456455386676,0.03846114074039164,0.9999999999999987,0.0,0.0,5,0,0,0,1.0174986952631073,1.4432899320127035e-15
2020-03-05,-0.0017378284693414514,-0.030993259792112537,0.9999999999999984,0.0,0.0,5,0,0,0,1.0157304570629613,1.4432899320127035e-15
2020-03-06,-0.011609984856912448,-0.018649427851619715,0.9999999999999987,0.0,0.0,5,0,0,0,1.0039378418377556,1.4432899320127035e-15
2020-03-09,-0.09258614569094947,-0.07287401875463217,0.9999999999999984,0.0,0.0,5,0,0,0,0.9109871065487077,1.4432899320127035e-15
2020-03-10,0.03883710479348346,0.04950139989280422,0.9999999999999984,0.0,0.0,5,0,0,0,0.9463672082712522,1.4432899320127035e-15
2020-03-11,-0.046181272539199236,-0.047002450789465855,0.9999999999999984,0.0,0.0,5,0,0,0,0.9026627663039164,1.4432899320127035e-15
2020-03-12,-0.10679298587155872,-0.09434674315042646,0.9999999999999982,0.0,0.0,5,0,0,0,0.8062647142552402,1.4432899320127035e-15
2020-03-13,0.051792404426465266,0.09336974349106453,0.852047889262899,0.14858511892186554,0.0006304864721381492,4,1,0,1,0.848023102410736,0.12546680795549314
2020-03-16,-0.09463010933107374,-0.12314095473462161,0.8365837960131548,0.0,0.0,4,0,0,0,0.7677745835143317,0.12546680795549314
2020-03-17,0.054198690660800075,0.06230493229300893,0.47286267843467245,0.37329462282238435,0.0015135239527564767,2,2,0,2,0.8093869606634496,0.426658074554032
2020-03-18,-0.017679785057648223,-0.047027996668693506,0.4633752685255865,0.0,0.0,2,0,0,0,0.7950771731704567,0.426658074554032
2020-03-19,0.006237218321961446,0.022996278112125124,0.4667015672812136,0.0,0.0,2,0,0,0,0.8000362430823287,0.426658074554032
